"ID","NAMES","total_AsTheCowRolls_POT_0"
"78653","Vicq",165
"78655","Vieille-Eglise-en-Yvelines",433
"78668","La Villeneuve-en-Chevrie",304
"78672","Villennes-sur-Seine",2366
"78674","Villepreux",4902
"78677","Villette",244
"78681","Villiers-le-Mahieu",289
"78683","Villiers-Saint-Frederic",1423
"78686","Viroflay",7515
"78688","Voisins-le-Bretonneux",5909
"91001","Abbeville-la-Riviere",116
"91016","Angerville",1948
"91017","Angervilliers",784
"91021","Arpajon",5481
"91022","Arrancourt",68
"91027","Athis-Mons",14691
"91035","Authon-la-Plaine",196
"91037","Auvernaux",190
"91038","Auvers-Saint-Georges",621
"91041","Avrainville",409
"91044","Ballainvilliers",1728
"91045","Ballancourt-sur-Essonne",3679
"91047","Baulne",700
"91064","Bievres",2220
"91067","Blandy",70
"91069","Boigneville",216
"91075","Bois-Herpin",53
"91079","Boissy-la-Riviere",264
"91080","Boissy-le-Cutte",691
"91081","Boissy-le-Sec",374
"91085","Boissy-sous-Saint-Yon",1946
"91086","Bondoufle",4717
"91093","Boullay-les-Troux",319
"91095","Bouray-sur-Juine",989
"91097","Boussy-Saint-Antoine",3189
"91098","Boutervilliers",227
"91099","Boutigny-sur-Essonne",1457
"91100","Bouville",334
"91103","Bretigny-sur-Orge",12328
"91105","Breuillet",4015
"91106","Breux-Jouy",663
"91109","Brieres-les-Scelles",530
"91111","Briis-sous-Forges",1661
"91112","Brouy",57
"91114","Brunoy",12200
"91115","Bruyeres-le-Chatel",1817
"91121","Buno-Bonnevaux",264
"91122","Bures-sur-Yvette",4174
"91129","Cerny",1668
"91130","Chalo-Saint-Mars",516
"91131","Chalou-Moulineux",228
"91132","Chamarande",570
"91135","Champcueil",1242
"91136","Champlan",1377
"91137","Champmotteux",212
"91145","Chatignonville",39
"91148","Chauffour-les-Etrechy",64
"91156","Cheptainville",1015
"91159","Chevannes",928
"91161","Chilly-Mazarin",9838
"91174","Corbeil-Essonnes",20902
"91175","Corbreuse",806
"91179","Le Coudray-Montceaux",2450
"91180","Courances",210
"91182","Courcouronnes",6743
"91184","Courdimanche-sur-Essonne",132
"91186","Courson-Monteloup",304
"91191","Crosne",4757
"91195","Dannemois",452
"91198","D'Huison-Longueville",741
"91200","Dourdan",4898
"91201","Draveil",13535
"91204","Echarcon",416
"91207","Egly",2583
"91215","Epinay-sous-Senart",5826
"91216","Epinay-sur-Orge",4946
"91222","Estouches",132
"91223","Etampes",11350
"91225","Etiolles",1566
