"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"77449","Serris",7150.1925841713
"77450","Servon",5505.67461821521
"77451","Signy-Signets",10952.6930125343
"77452","Sigy",16890.0204983741
"77453","Sivry-Courtry",8617.08183315695
"77454","Sognolles-en-Montois",16526.9100704846
"77455","Soignolles-en-Brie",8665.57129507503
"77456","Soisy-Bouy",21073.4883698253
"77457","Solers",9178.27947931883
"77458","Souppes-sur-Loing",20172.6106569361
"77459","Sourdun",23220.0539377688
"77460","Tancrou",12835.9768578327
"77461","Thenisy",17104.8709207793
"77462","Thieux",7341.99366952535
"77463","Thomery",11327.3352234096
"77464","Thorigny-sur-Marne",5370.02146696257
"77465","Thoury-Ferottes",15773.3392782616
"77466","Tigeaux",10243.3853115105
"77467","La Tombe",17107.0798416182
"77468","Torcy",3340.2638189669
"77469","Touquin",14087.6768652777
"77470","Tournan-en-Brie",9012.84065598183
"77471","Tousson",16547.6043913803
"77472","La Tretoire",16167.9119989883
"77473","Treuzy-Levelay",14284.9574571493
"77474","Trilbardou",7461.18783449455
"77475","Trilport",7584.81893209157
"77476","Trocy-en-Multien",11440.1032637743
"77477","Ury",14386.5728763571
"77478","Ussy-sur-Marne",11837.46839858
"77479","Vaires-sur-Marne",3233.83141184283
"77480","Valence-en-Brie",12060.4685207332
"77481","Vanville",16249.6229292195
"77482","Varennes-sur-Seine",13264.1025164648
"77483","Varreddes",8258.7822226384
"77484","Vaucourtois",8694.4694907705
"77485","Le Vaudoue",15509.6843204117
"77486","Vaudoy-en-Brie",15368.4613476597
"77487","Vaux-le-Penil",5643.65369568919
"77489","Vaux-sur-Lunain",20699.4330120667
"77490","Vendrest",15733.8185146215
"77491","Veneux-les-Sablons",11654.6661090644
"77492","Verdelot",21789.7414782061
"77493","Verneuil-l'Etang",11760.9498618337
"77494","Vernou-la-Celle-sur-Seine",11509.8231701076
"77495","Vert-Saint-Denis",4574.08996972259
"77496","Vieux-Champagne",16653.460339479
"77498","Vignely",7055.32460817396
"77500","Villebeon",20784.6393142353
"77501","Villecerf",12655.8927958614
"77504","Villemarechal",15116.3543368387
"77505","Villemareuil",8848.91546331667
"77506","Villemer",13206.1518161831
"77507","Villenauxe-la-Petite",24419.8016211291
"77508","Villeneuve-le-Comte",9167.39135707424
"77509","Villeneuve-les-Bordes",14808.1355268525
"77510","Villeneuve-Saint-Denis",7877.53825118166
"77511","Villeneuve-sous-Dammartin",7452.74899043929
