"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"77402","Saint-Barthelemy",650.13306237
"77403","Saint-Brice",1875.29458518
"77404","Sainte-Colombe",2177.56956103
"77405","Saint-Cyr-sur-Morin",1590.94735838
"77406","Saint-Denis-les-Rebais",2220.62512125
"77407","Saint-Fargeau-Ponthierry",13612.27788768
"77408","Saint-Fiacre",5726.22987865
"77409","Saint-Germain-Laval",3458.18962674
"77410","Saint-Germain-Laxis",12048.64590081
"77411","Saint-Germain-sous-Doue",1807.48843441
"77412","Saint-Germain-sur-Ecole",4172.20353044
"77413","Saint-Germain-sur-Morin",14744.71304962
"77414","Saint-Hilliers",697.80451519
"77415","Saint-Jean-les-Deux-Jumeaux",6815.42616174
"77416","Saint-Just-en-Brie",408.48745987
"77417","Saint-Leger",938.00123834
"77418","Saint-Loup-de-Naud",1740.1834461
"77419","Saint-Mammes",6650.33227229
"77420","Saint-Mard",6468.84097903
"77421","Saint-Mars-Vieux-Maisons",769.0044881
"77423","Saint-Martin-des-Champs",895.49979827
"77424","Saint-Martin-du-Boschet",261.17371402
"77425","Saint-Martin-en-Biere",3040.53978163
"77426","Saint-Mery",2174.62086359
"77427","Saint-Mesmes",6488.13113683
"77428","Saint-Ouen-en-Brie",2306.96279697
"77429","Saint-Ouen-sur-Morin",1522.72641068
"77430","Saint-Pathus",2999.78153908
"77431","Saint-Pierre-les-Nemours",3751.04362301
"77432","Saint-Remy-la-Vanne",1963.74704092
"77433","Saints",3051.47725817
"77434","Saint-Sauveur-les-Bray",924.84005045
"77435","Saint-Sauveur-sur-Ecole",7196.24285642
"77436","Saint-Simeon",2348.08982908
"77437","Saint-Soupplets",6468.18962888
"77438","Saint-Thibault-des-Vignes",43208.39171671
"77439","Salins",2592.62562451
"77440","Sammeron",4961.81927824
"77441","Samois-sur-Seine",5376.86019293
"77442","Samoreau",7637.69781546
"77443","Sancy",4104.35284475
"77444","Sancy-les-Provins",377.42686294
"77445","Savigny-le-Temple",24194.37418006
"77446","Savins",1473.7998314
"77447","Seine-Port",15861.81318862
"77448","Sept-Sorts",3290.02986686
"77449","Serris",18097.44749369
"77450","Servon",31117.74688731
"77451","Signy-Signets",2389.22126361
"77452","Sigy",1288.39915779
"77453","Sivry-Courtry",10089.77975844
"77454","Sognolles-en-Montois",991.23942071
"77455","Soignolles-en-Brie",7229.03251019
"77456","Soisy-Bouy",1258.51287634
"77457","Solers",6151.57782498
"77458","Souppes-sur-Loing",2094.76594688
"77459","Sourdun",1964.80751164
"77460","Tancrou",1948.67857894
"77461","Thenisy",1244.58876559
"77462","Thieux",7613.19174371
"77463","Thomery",6833.11108044
"77464","Thorigny-sur-Marne",25030.39981905
"77465","Thoury-Ferottes",1502.60531069
"77466","Tigeaux",4048.49019186
"77467","La Tombe",2025.04240528
"77468","Torcy",59798.62737078
"77469","Touquin",2430.63826866
"77470","Tournan-en-Brie",9022.6475029
"77471","Tousson",1651.41956935
"77472","La Tretoire",1204.3639652
"77473","Treuzy-Levelay",1717.46154443
"77474","Trilbardou",11861.06926611
"77475","Trilport",10188.11565192
"77476","Trocy-en-Multien",3361.6626783
"77477","Ury",4387.66852593
"77478","Ussy-sur-Marne",3903.75004865
"77479","Vaires-sur-Marne",44332.65193751
"77480","Valence-en-Brie",2767.32815989
"77481","Vanville",1263.26329581
"77482","Varennes-sur-Seine",4842.7024344
"77483","Varreddes",9074.95187136
"77484","Vaucourtois",4468.96728804
"77485","Le Vaudoue",1695.8452358
"77486","Vaudoy-en-Brie",1513.86308512
"77487","Vaux-le-Penil",15121.87499569
