"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"77529","Voulangis",1278.90266076
"77530","Voulton",156.45386508
"77531","Voulx",300.120377
"77532","Vulaines-les-Provins",375.01267515
"77533","Vulaines-sur-Seine",1227.45743462
"77534","Yebles",793.71947474
"78003","Ablis",427.98181574
"78005","Acheres",4591.83893679
"78006","Adainville",343.6612095
"78007","Aigremont",4377.79949876
"78009","Allainville",242.27437991
"78010","Les Alluets-le-Roi",1538.87123121
"78013","Andelu",769.98961071
"78015","Andresy",4518.60189476
"78020","Arnouville-les-Mantes",740.53734335
"78029","Aubergenville",2708.38816835
"78030","Auffargis",1245.69892682
"78031","Auffreville-Brasseuil",1868.89931533
"78033","Aulnay-sur-Mauldre",1595.71845742
"78034","Auteuil",771.59988242
"78036","Autouillet",550.91548983
"78043","Bailly",8370.81187153
"78048","Bazainville",766.94137902
"78049","Bazemont",1227.02144789
"78050","Bazoches-sur-Guyonne",1438.63109842
"78053","Behoust",616.71142575
"78057","Bennecourt",637.86862114
"78062","Beynes",1444.11898206
"78068","Blaru",125.8128114
"78070","Boinville-en-Mantois",949.40597273
"78071","Boinville-le-Gaillard",268.19519677
"78072","Boinvilliers",786.60507065
"78073","Bois-d'Arcy",6609.19099572
"78076","Boissets",211.40820235
"78077","La Boissiere-Ecole",208.48825481
"78082","Boissy-Mauvoisin",473.44781738
"78084","Boissy-sans-Avoir",894.79696309
"78087","Bonnelles",1215.52951459
"78089","Bonnieres-sur-Seine",502.23415407
"78090","Bouafle",2850.79176816
"78092","Bougival",14773.02019069
"78096","Bourdonne",553.14370858
"78104","Breuil-Bois-Robert",1574.68279463
"78107","Breval",318.04408368
"78108","Les Breviaires",673.31863164
"78113","Brueil-en-Vexin",1479.35331059
"78117","Buc",4906.87062476
"78118","Buchelay",1865.89927698
"78120","Bullion",967.72907863
"78123","Carrieres-sous-Poissy",5729.11756926
"78124","Carrieres-sur-Seine",17569.91691145
"78125","La Celle-les-Bordes",690.38793693
"78126","La Celle-Saint-Cloud",15894.03130971
"78128","Cernay-la-Ville",1085.27981377
"78133","Chambourcy",5038.749103
