"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"78407","Mittainville",12
"78410","Moisson",52
"78413","Mondreville",46
"78415","Montainville",12
"78416","Montalet-le-Bois",35
"78417","Montchauvet",8
"78418","Montesson",733
"78420","Montfort-l'Amaury",121
"78423","Montigny-le-Bretonneux",1381
"78431","Morainvilliers",86
"78437","Mousseaux-sur-Seine",48
"78439","Mulcent",4
"78440","Les Mureaux",4296
"78442","Neauphle-le-Chateau",139
"78443","Neauphle-le-Vieux",28
"78444","Neauphlette",80
"78451","Nezel",94
"78455","Noisy-le-Roi",176
"78460","Oinville-sur-Montcient",112
"78464","Orcemont",24
"78465","Orgerus",150
"78466","Orgeval",133
"78470","Orphin",48
"78472","Orsonville",40
"78474","Orvilliers",72
"78475","Osmoy",23
"78478","Paray-Douaville",36
"78481","Le Pecq",665
"78484","Perdreauville",29
"78486","Le Perray-en-Yvelines",468
"78490","Plaisir",2295
"78497","Poigny-la-Foret",25
"78498","Poissy",3032
"78499","Ponthevrard",48
"78501","Porcheville",322
"78502","Le Port-Marly",307
"78503","Port-Villez",32
"78505","Prunay-le-Temple",12
"78506","Prunay-en-Yvelines",76
"78513","La Queue-les-Yvelines",120
"78516","Raizeux",46
"78517","Rambouillet",1835
"78518","Rennemoulin",4
"78520","Richebourg",52
"78522","Rochefort-en-Yvelines",55
"78524","Rocquencourt",89
"78528","Rolleboise",29
"78530","Rosay",40
"78531","Rosny-sur-Seine",680
"78536","Sailly",32
"78537","Saint-Arnoult-en-Yvelines",420
"78545","Saint-Cyr-l'Ecole",1041
"78548","Saint-Forget",23
"78550","Saint-Germain-de-la-Grange",48
"78551","Saint-Germain-en-Laye",1579
"78557","Saint-Hilarion",76
"78558","Saint-Illiers-la-Ville",32
"78559","Saint-Illiers-le-Bois",45
"78561","Saint-Lambert",17
"78562","Saint-Leger-en-Yvelines",96
"78564","Saint-Martin-de-Brethencourt",52
"78565","Saint-Martin-des-Champs",8
"78567","Saint-Martin-la-Garenne",74
"78569","Sainte-Mesme",83
"78571","Saint-Nom-la-Breteche",85
"78575","Saint-Remy-les-Chevreuse",217
"78576","Saint-Remy-l'Honore",28
"78586","Sartrouville",4747
"78588","Saulx-Marchais",79
"78590","Senlisse",12
"78591","Septeuil",136
"78597","Soindres",65
"78601","Sonchamp",105
"78605","Tacoignieres",56
"78606","Le Tartre-Gaudran",0
"78608","Le Tertre-Saint-Denis",8
"78609","Tessancourt-sur-Aubette",76
"78615","Thiverval-Grignon",44
"78616","Thoiry",73
"78618","Tilly",32
"78620","Toussus-le-Noble",50
"78621","Trappes",4360
"78623","Le Tremblay-sur-Mauldre",133
"78624","Triel-sur-Seine",693
"78638","Vaux-sur-Seine",300
"78640","Velizy-Villacoublay",963
"78642","Verneuil-sur-Seine",871
"78643","Vernouillet",644
"78644","La Verriere",791
"78646","Versailles",2480
"78647","Vert",44
"78650","Le Vesinet",332
"78653","Vicq",20
"78655","Vieille-Eglise-en-Yvelines",28
"78668","La Villeneuve-en-Chevrie",56
"78672","Villennes-sur-Seine",151
"78674","Villepreux",494
"78677","Villette",12
"78681","Villiers-le-Mahieu",36
"78683","Villiers-Saint-Frederic",132
"78686","Viroflay",422
"78688","Voisins-le-Bretonneux",293
"91001","Abbeville-la-Riviere",16
"91016","Angerville",552
"91017","Angervilliers",124
"91021","Arpajon",1213
"91022","Arrancourt",12
"91027","Athis-Mons",3161
"91035","Authon-la-Plaine",52
"91037","Auvernaux",32
"91038","Auvers-Saint-Georges",102
"91041","Avrainville",93
"91044","Ballainvilliers",212
"91045","Ballancourt-sur-Essonne",747
"91047","Baulne",112
"91064","Bievres",172
"91067","Blandy",29
"91069","Boigneville",45
"91075","Bois-Herpin",21
"91079","Boissy-la-Riviere",24
"91080","Boissy-le-Cutte",145
"91081","Boissy-le-Sec",101
"91085","Boissy-sous-Saint-Yon",334
"91086","Bondoufle",576
"91093","Boullay-les-Troux",28
"91095","Bouray-sur-Juine",144
"91097","Boussy-Saint-Antoine",360
"91098","Boutervilliers",30
"91099","Boutigny-sur-Essonne",263
"91100","Bouville",48
"91103","Bretigny-sur-Orge",2260
"91105","Breuillet",641
"91106","Breux-Jouy",131
"91109","Brieres-les-Scelles",104
"91111","Briis-sous-Forges",200
