"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"77365","Le Plessis-Feu-Aussoux",2119.23362592
"77366","Le Plessis-l'Eveque",7962.41258698
"77367","Le Plessis-Placy",2821.09138596
"77368","Poigny",3733.10025156
"77369","Poincy",15004.03794501
"77370","Poligny",4182.31421723
"77371","Pommeuse",5230.23574261
"77372","Pomponne",48470.12450508
"77373","Pontault-Combault",65051.95006767
"77374","Pontcarre",30893.15362172
"77376","Precy-sur-Marne",15699.19630651
"77377","Presles-en-Brie",9102.30149461
"77378","Pringy",18044.38893183
"77379","Provins",3477.32086036
"77380","Puisieux",2807.78784754
"77381","Quiers",2891.2446314
"77382","Quincy-Voisins",16551.08004934
"77383","Rampillon",2294.61768939
"77384","Reau",24928.68869861
"77385","Rebais",2826.88094736
"77386","Recloses",3434.14710897
"77387","Remauville",2270.10469566
"77388","Reuil-en-Brie",4194.9971208
"77389","La Rochette",18945.7428261
"77390","Roissy-en-Brie",43917.42915405
"77391","Rouilly",2945.34421887
"77392","Rouvres",6007.81289231
"77393","Rozay-en-Brie",2463.75520486
"77394","Rubelles",20508.30489537
"77395","Rumont",848.59292721
"77396","Rupereux",1176.56318944
"77397","Saacy-sur-Marne",3151.98777431
"77398","Sablonnieres",1830.75477726
"77399","Saint-Ange-le-Viel",1730.1474222
"77400","Saint-Augustin",5191.2753458
"77401","Sainte-Aulde",2814.35809942
"77402","Saint-Barthelemy",1506.64114077
"77403","Saint-Brice",2950.58428644
"77404","Sainte-Colombe",3746.52177223
"77405","Saint-Cyr-sur-Morin",4091.2887135
"77406","Saint-Denis-les-Rebais",3655.1535641
"77407","Saint-Fargeau-Ponthierry",21850.80109077
"77408","Saint-Fiacre",13139.38829188
"77409","Saint-Germain-Laval",4656.49339654
"77410","Saint-Germain-Laxis",14363.56016596
"77411","Saint-Germain-sous-Doue",4997.1374391
"77412","Saint-Germain-sur-Ecole",5979.47964088
"77413","Saint-Germain-sur-Morin",16486.38407427
"77414","Saint-Hilliers",1792.09415672
"77415","Saint-Jean-les-Deux-Jumeaux",6721.64557687
"77416","Saint-Just-en-Brie",1365.00010849
"77417","Saint-Leger",2510.98805796
"77418","Saint-Loup-de-Naud",3319.83480607
"77419","Saint-Mammes",7444.33403814
"77420","Saint-Mard",7607.71446585
"77421","Saint-Mars-Vieux-Maisons",1399.44434233
"77423","Saint-Martin-des-Champs",1788.77889327
"77424","Saint-Martin-du-Boschet",457.89994747
"77425","Saint-Martin-en-Biere",3778.13513583
"77426","Saint-Mery",3405.56165371
"77427","Saint-Mesmes",10389.07613344
"77428","Saint-Ouen-en-Brie",3030.08130693
"77429","Saint-Ouen-sur-Morin",3519.82701208
"77430","Saint-Pathus",4038.74203322
"77431","Saint-Pierre-les-Nemours",4417.90836119
"77432","Saint-Remy-la-Vanne",2962.39629105
"77433","Saints",4510.16653251
"77434","Saint-Sauveur-les-Bray",1908.17670965
"77435","Saint-Sauveur-sur-Ecole",11834.9369486
"77436","Saint-Simeon",3869.67489391
"77437","Saint-Soupplets",5788.23682707
"77438","Saint-Thibault-des-Vignes",52342.26226081
"77439","Salins",3614.26578319
"77440","Sammeron",4802.77242141
"77441","Samois-sur-Seine",7931.41821171
"77442","Samoreau",8117.69607851
"77443","Sancy",7407.54337658
"77444","Sancy-les-Provins",576.59474468
"77445","Savigny-le-Temple",31358.45430808
"77446","Savins",2932.61569027
"77447","Seine-Port",27075.59173752
"77448","Sept-Sorts",4582.37316054
"77449","Serris",20544.24297884
"77450","Servon",36454.0494744
"77451","Signy-Signets",4540.97457666
"77452","Sigy",2109.37723488
"77453","Sivry-Courtry",9752.24172435
"77454","Sognolles-en-Montois",2187.91307232
"77455","Soignolles-en-Brie",8090.42608511
"77456","Soisy-Bouy",3335.35684521
"77457","Solers",6664.70098578
"77458","Souppes-sur-Loing",2856.21865549
"77459","Sourdun",2531.83699002
"77460","Tancrou",3988.70820261
