"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"77442","Samoreau",62662.7306713
"77443","Sancy",47688.57688779
"77444","Sancy-les-Provins",4336.8929651
"77445","Savigny-le-Temple",197208.76275645
"77446","Savins",19068.01981514
"77447","Seine-Port",175305.71706404
"77448","Sept-Sorts",27744.0090005
"77449","Serris",126802.54643408
"77450","Servon",245001.08778106
"77451","Signy-Signets",28067.7972239
"77452","Sigy",14225.33084351
"77453","Sivry-Courtry",66142.61857792
"77454","Sognolles-en-Montois",14503.87441959
"77455","Soignolles-en-Brie",50271.87806068
"77456","Soisy-Bouy",21271.15200162
"77457","Solers",42003.25828347
"77458","Souppes-sur-Loing",19171.3558836
"77459","Sourdun",16436.76186982
"77460","Tancrou",24625.4652015
"77461","Thenisy",15677.3988829
"77462","Thieux",85256.97851954
"77463","Thomery",61860.4129565
"77464","Thorigny-sur-Marne",205631.72724117
"77465","Thoury-Ferottes",15904.39078696
"77466","Tigeaux",44498.13466417
"77467","La Tombe",14056.93244473
"77468","Torcy",421250.25821411
"77469","Touquin",18563.52462208
"77470","Tournan-en-Brie",53322.4469703
"77471","Tousson",12395.8628833
"77472","La Tretoire",15907.04398894
"77473","Treuzy-Levelay",24309.66914495
"77474","Trilbardou",90101.48226496
"77475","Trilport",77503.85611423
"77476","Trocy-en-Multien",26364.68332304
"77477","Ury",18331.92423986
"77478","Ussy-sur-Marne",29433.05978331
"77479","Vaires-sur-Marne",480791.82463339
"77480","Valence-en-Brie",31096.35857982
"77481","Vanville",12568.27934849
"77482","Varennes-sur-Seine",40151.66547528
"77483","Varreddes",67859.98448262
"77484","Vaucourtois",62590.78188588
"77485","Le Vaudoue",13472.5947953
"77486","Vaudoy-en-Brie",10514.09696101
"77487","Vaux-le-Penil",116720.52840212
"77489","Vaux-sur-Lunain",6152.70408982
"77490","Vendrest",13986.67161318
"77491","Veneux-les-Sablons",56239.40758581
"77492","Verdelot",6125.08679858
"77493","Verneuil-l'Etang",27488.95649447
"77494","Vernou-la-Celle-sur-Seine",50579.95771015
"77495","Vert-Saint-Denis",168966.94399281
"77496","Vieux-Champagne",10026.44011678
"77498","Vignely",104095.99064729
"77500","Villebeon",6580.32999938
"77501","Villecerf",29514.0225175
"77504","Villemarechal",13179.393002
"77505","Villemareuil",58061.14459845
"77506","Villemer",23298.41727801
"77507","Villenauxe-la-Petite",6763.74785662
"77508","Villeneuve-le-Comte",62513.45402282
"77509","Villeneuve-les-Bordes",15173.79295037
"77510","Villeneuve-Saint-Denis",98017.85799336
"77511","Villeneuve-sous-Dammartin",82097.72953916
"77512","Villeneuve-sur-Bellot",9036.98827854
"77513","Villenoy",105509.34948414
"77514","Villeparisis",373050.01560233
"77515","Villeroy",57446.23913622
"77516","Ville-Saint-Jacques",35832.19761181
"77517","Villevaude",296915.55366273
"77518","Villiers-en-Biere",111236.67985741
"77519","Villiers-Saint-Georges",4029.5270393
"77520","Villiers-sous-Grez",25433.15697332
"77521","Villiers-sur-Morin",70932.89243023
"77522","Villiers-sur-Seine",5536.19716066
"77523","Villuis",4541.32517827
"77524","Vimpelles",13083.52413324
"77525","Vinantes",46986.28759733
"77526","Vincy-Manoeuvre",11259.55975642
"77527","Voinsles",12441.11495363
"77528","Voisenon",141942.05143274
"77529","Voulangis",55785.65525325
"77530","Voulton",13176.82500877
"77531","Voulx",11390.10979107
"77532","Vulaines-les-Provins",20566.37939448
"77533","Vulaines-sur-Seine",61660.28863635
"77534","Yebles",30124.57986923
"78003","Ablis",13886.98670093
"78005","Acheres",441522.06120106
"78006","Adainville",10287.73303514
"78007","Aigremont",233930.30416852
"78009","Allainville",9507.42494482
"78010","Les Alluets-le-Roi",111688.3984718
"78013","Andelu",50580.57084752
"78015","Andresy",362445.17250277
"78020","Arnouville-les-Mantes",59572.26030494
"78029","Aubergenville",117790.58162282
"78030","Auffargis",58916.88211076
"78031","Auffreville-Brasseuil",109415.83268555
"78033","Aulnay-sur-Mauldre",87153.75477096
"78034","Auteuil",51643.58952236
"78036","Autouillet",41756.49096266
"78043","Bailly",478120.1420342
"78048","Bazainville",21509.13449192
"78049","Bazemont",102771.21610027
"78050","Bazoches-sur-Guyonne",92258.44103802
"78053","Behoust",27076.13973256
"78057","Bennecourt",31643.91706413
"78062","Beynes",77010.97861757
"78068","Blaru",11339.13615076
"78070","Boinville-en-Mantois",85707.40429973
"78071","Boinville-le-Gaillard",11787.96633864
"78072","Boinvilliers",55904.83928692
"78073","Bois-d'Arcy",338221.2703126
"78076","Boissets",13867.88771118
"78077","La Boissiere-Ecole",9310.68166899
"78082","Boissy-Mauvoisin",46022.63613161
"78084","Boissy-sans-Avoir",43557.06882189
"78087","Bonnelles",39224.10279858
"78089","Bonnieres-sur-Seine",41899.05725841
"78090","Bouafle",140481.63464295
"78092","Bougival",855419.9290656
"78096","Bourdonne",14123.75966333
"78104","Breuil-Bois-Robert",101138.61705978
"78107","Breval",21265.02939036
"78108","Les Breviaires",48531.26793051
"78113","Brueil-en-Vexin",89704.72012305
"78117","Buc",428037.29745526
"78118","Buchelay",112804.87102217
"78120","Bullion",31016.43576722
"78123","Carrieres-sous-Poissy",294666.81158386
"78124","Carrieres-sur-Seine",1196181.51075678
"78125","La Celle-les-Bordes",34029.64699425
"78126","La Celle-Saint-Cloud",805581.26135832
"78128","Cernay-la-Ville",47440.85232299
"78133","Chambourcy",279306.27927234
"78138","Chanteloup-les-Vignes",330617.66750616
"78140","Chapet",185743.53105683
"78143","Chateaufort",263258.2531291
"78146","Chatou",995735.75235963
"78147","Chaufour-les-Bonnieres",13482.81011385
"78152","Chavenay",221343.85517451
"78158","Le Chesnay",703530.99752214
"78160","Chevreuse",136239.79189212
"78162","Choisel",65069.60610042
"78163","Civry-la-Foret",17602.91036084
"78164","Clairefontaine-en-Yvelines",33580.70803583
"78165","Les Clayes-sous-Bois",270332.68294944
"78168","Coignieres",147972.6597017
"78171","Conde-sur-Vesgre",12322.55089273
"78172","Conflans-Sainte-Honorine",422806.65560666
"78185","Courgent",31957.79211168
"78188","Cravent",12514.41908474
"78189","Crespieres",103688.65901557
"78190","Croissy-sur-Seine",837724.29109604
"78192","Dammartin-en-Serve",30366.5871136
"78193","Dampierre-en-Yvelines",101859.86151772
"78194","Dannemarie",11978.29242257
"78196","Davron",146359.54605386
"78202","Drocourt",62393.25048618
"78206","Ecquevilly",149592.73987368
"78208","Elancourt",241998.00967434
"78209","Emance",12111.93295906
"78217","Epone",102604.43661302
"78220","Les Essarts-le-Roi",86303.71307432
"78224","L'Etang-la-Ville",388741.0767909
"78227","Evecquemont",178445.42067463
"78230","La Falaise",92594.42316865
"78231","Favrieux",73073.28234079
"78233","Feucherolles",174946.24195599
