"ID","NAMES","artisans_AsTheCowRolls_ACC_0.01"
"77400","Saint-Augustin",18.6612096622782
"77401","Sainte-Aulde",21.0678795798998
"77402","Saint-Barthelemy",30.3203543464721
"77403","Saint-Brice",30.536013253662
"77404","Sainte-Colombe",29.5613778490063
"77405","Saint-Cyr-sur-Morin",22.2058855528937
"77406","Saint-Denis-les-Rebais",22.3284843722248
"77407","Saint-Fargeau-Ponthierry",10.5774133570131
"77408","Saint-Fiacre",14.2261642686855
"77409","Saint-Germain-Laval",21.109503653313
"77410","Saint-Germain-Laxis",11.5959074947144
"77411","Saint-Germain-sous-Doue",22.658666450363
"77412","Saint-Germain-sur-Ecole",13.0716950068637
"77413","Saint-Germain-sur-Morin",10.2733935168614
"77414","Saint-Hilliers",27.7416809782077
"77415","Saint-Jean-les-Deux-Jumeaux",15.0067582380151
"77416","Saint-Just-en-Brie",26.0589512114139
"77417","Saint-Leger",26.3459124403842
"77418","Saint-Loup-de-Naud",29.9271799167984
"77419","Saint-Mammes",16.590146958443
"77420","Saint-Mard",11.8487830753617
"77421","Saint-Mars-Vieux-Maisons",27.4195153610715
"77423","Saint-Martin-des-Champs",28.0685074921153
"77424","Saint-Martin-du-Boschet",31.595402925988
"77425","Saint-Martin-en-Biere",13.8720018610093
"77426","Saint-Mery",17.3191437526886
"77427","Saint-Mesmes",11.5702179195292
"77428","Saint-Ouen-en-Brie",19.3789436793912
"77429","Saint-Ouen-sur-Morin",22.5255968024779
"77430","Saint-Pathus",16.8239570648153
"77431","Saint-Pierre-les-Nemours",18.26389305078
"77432","Saint-Remy-la-Vanne",23.0407844547816
"77433","Saints",19.2751838815798
"77434","Saint-Sauveur-les-Bray",31.1515582913329
"77435","Saint-Sauveur-sur-Ecole",12.2777211800002
"77436","Saint-Simeon",22.1283301005679
"77437","Saint-Soupplets",15.2826922098787
"77438","Saint-Thibault-des-Vignes",6.29154368608343
"77439","Salins",22.2769522014945
"77440","Sammeron",15.1406759011038
"77441","Samois-sur-Seine",15.7842187071635
"77442","Samoreau",14.2103670514919
"77443","Sancy",14.4970799954562
"77444","Sancy-les-Provins",28.2729191028453
"77445","Savigny-le-Temple",9.48984767147552
"77446","Savins",29.7197360011673
"77447","Seine-Port",10.6607886502791
"77448","Sept-Sorts",16.7023337079027
"77449","Serris",9.81245001096907
"77450","Servon",7.21740153885264
"77451","Signy-Signets",17.1655243463682
"77452","Sigy",28.8419424695009
"77453","Sivry-Courtry",13.2392081443065
"77454","Sognolles-en-Montois",29.2647220092536
"77455","Soignolles-en-Brie",11.6746173142008
"77456","Soisy-Bouy",32.6426283864725
"77457","Solers",12.0877046266387
"77458","Souppes-sur-Loing",22.4489907074534
"77459","Sourdun",30.2349627055202
"77460","Tancrou",20.3853815891585
"77461","Thenisy",28.8714436886379
"77462","Thieux",11.318654712907
"77463","Thomery",16.380748958542
"77464","Thorigny-sur-Marne",8.30601897888206
"77465","Thoury-Ferottes",25.224504344924
"77466","Tigeaux",13.491292916726
"77467","La Tombe",23.9455929285162
"77468","Torcy",5.69440665433818
"77469","Touquin",17.1185734432508
"77470","Tournan-en-Brie",10.992982365845
"77471","Tousson",19.0548651651544
"77472","La Tretoire",25.7511949673958
"77473","Treuzy-Levelay",21.4726226099409
"77474","Trilbardou",10.9496347966048
"77475","Trilport",13.7338805505356
"77476","Trocy-en-Multien",19.2794750141059
"77477","Ury",15.1279615462293
"77478","Ussy-sur-Marne",15.5587896980292
"77479","Vaires-sur-Marne",6.47004880860546
"77480","Valence-en-Brie",18.4866452495304
"77481","Vanville",25.1340191079545
"77482","Varennes-sur-Seine",19.5471902706508
"77483","Varreddes",15.1324803254215
"77484","Vaucourtois",14.2089184455512
"77485","Le Vaudoue",18.1719951997741
"77486","Vaudoy-en-Brie",18.5384884371046
"77487","Vaux-le-Penil",11.4749293450881
"77489","Vaux-sur-Lunain",28.015576959097
"77490","Vendrest",24.8417588784001
"77491","Veneux-les-Sablons",16.9746273527015
"77492","Verdelot",29.5189938990359
"77493","Verneuil-l'Etang",15.9259955233196
"77494","Vernou-la-Celle-sur-Seine",19.1499118154892
"77495","Vert-Saint-Denis",9.22959949322717
"77496","Vieux-Champagne",27.0970168451269
"77498","Vignely",11.3175817987444
"77500","Villebeon",27.6871274267878
"77501","Villecerf",18.7115845157492
"77504","Villemarechal",23.8334170745379
"77505","Villemareuil",14.2244319180643
"77506","Villemer",19.3195419737352
"77507","Villenauxe-la-Petite",31.368898148116
"77508","Villeneuve-le-Comte",10.460041221026
"77509","Villeneuve-les-Bordes",24.1577243062606
"77510","Villeneuve-Saint-Denis",10.2474700442564
"77511","Villeneuve-sous-Dammartin",13.0690662304948
"77512","Villeneuve-sur-Bellot",29.6591715869406
"77513","Villenoy",10.9893167343766
"77514","Villeparisis",6.30000724856828
"77515","Villeroy",12.5173230384344
"77516","Ville-Saint-Jacques",20.0178545119797
"77517","Villevaude",7.58147861762305
"77518","Villiers-en-Biere",11.5606531137812
"77519","Villiers-Saint-Georges",31.3439018643617
"77520","Villiers-sous-Grez",17.6675645718427
"77521","Villiers-sur-Morin",10.7633448937071
"77522","Villiers-sur-Seine",32.6728475666882
"77523","Villuis",33.1207927171456
"77524","Vimpelles",30.0096223829337
"77525","Vinantes",15.5630495961861
"77526","Vincy-Manoeuvre",23.2554081086959
"77527","Voinsles",18.6325211280739
"77528","Voisenon",10.4759968443052
"77529","Voulangis",12.2703594758236
"77530","Voulton",31.9188447190812
"77531","Voulx",26.3222521843898
"77532","Vulaines-les-Provins",27.1375923003831
"77533","Vulaines-sur-Seine",14.7926375161442
"77534","Yebles",14.2523690392382
"78003","Ablis",18.148005792863
"78005","Acheres",7.69672939392891
"78006","Adainville",21.4819386120919
"78007","Aigremont",7.8072026004401
"78009","Allainville",19.4421526800348
"78010","Les Alluets-le-Roi",11.120737539495
"78013","Andelu",14.7968204764192
"78015","Andresy",7.48412166737555
"78020","Arnouville-les-Mantes",15.6246924413363
"78029","Aubergenville",9.98529201581749
"78030","Auffargis",12.9965921829729
"78031","Auffreville-Brasseuil",12.0890210488897
"78033","Aulnay-sur-Mauldre",11.7382983561168
"78034","Auteuil",14.5582154488923
"78036","Autouillet",15.574441971217
"78043","Bailly",6.24599744453525
"78048","Bazainville",15.7278988815736
"78049","Bazemont",12.7542067657578
"78050","Bazoches-sur-Guyonne",11.5371750485714
"78053","Behoust",16.3517031870455
"78057","Bennecourt",17.240065354407
"78062","Beynes",11.9927541386802
"78068","Blaru",20.9655552625675
"78070","Boinville-en-Mantois",14.9683747436451
"78071","Boinville-le-Gaillard",20.299415613179
"78072","Boinvilliers",16.1122700779461
"78073","Bois-d'Arcy",6.6247395135317
"78076","Boissets",22.0306634560669
"78077","La Boissiere-Ecole",25.1123510370505
"78082","Boissy-Mauvoisin",18.4143445520835
"78084","Boissy-sans-Avoir",14.0085552322974
"78087","Bonnelles",13.1653700056242
"78089","Bonnieres-sur-Seine",17.88220966202
"78090","Bouafle",9.68473329080916
"78092","Bougival",5.33424075457443
"78096","Bourdonne",18.3073195903833
"78104","Breuil-Bois-Robert",13.136899243994
"78107","Breval",20.6513179135912
"78108","Les Breviaires",15.6859458247164
"78113","Brueil-en-Vexin",12.4279478872436
"78117","Buc",7.43691553249674
"78118","Buchelay",11.9840795050246
"78120","Bullion",14.4630338756706
"78123","Carrieres-sous-Poissy",6.60383295169971
"78124","Carrieres-sur-Seine",5.00039006160922
"78125","La Celle-les-Bordes",15.5488412558639
"78126","La Celle-Saint-Cloud",5.32497294466349
"78128","Cernay-la-Ville",13.5260121110334
"78133","Chambourcy",7.35322822134673
"78138","Chanteloup-les-Vignes",7.30633353354732
"78140","Chapet",10.1939153143503
"78143","Chateaufort",9.18576023520416
"78146","Chatou",5.00087433932116
"78147","Chaufour-les-Bonnieres",17.7996563861711
"78152","Chavenay",9.58273719866047
"78158","Le Chesnay",5.20899845564531
"78160","Chevreuse",11.9031095352728
"78162","Choisel",12.9259775260377
"78163","Civry-la-Foret",19.9773044600157
"78164","Clairefontaine-en-Yvelines",15.1854365915301
"78165","Les Clayes-sous-Bois",8.91879604316548
"78168","Coignieres",10.7829804496397
"78171","Conde-sur-Vesgre",20.0372386375228
"78172","Conflans-Sainte-Honorine",6.63434800585313
"78185","Courgent",16.208816475872
"78188","Cravent",20.7319052478397
"78189","Crespieres",10.8186098479142
"78190","Croissy-sur-Seine",5.41671753638699
"78192","Dammartin-en-Serve",18.862729414068
"78193","Dampierre-en-Yvelines",12.2729400344532
"78194","Dannemarie",19.8558902865368
"78196","Davron",10.7122649626515
"78202","Drocourt",14.3545038518867
"78206","Ecquevilly",10.0924685115879
"78208","Elancourt",10.1196618505702
"78209","Emance",23.1171442572764
"78217","Epone",10.0485618548631
"78220","Les Essarts-le-Roi",11.499442860536
"78224","L'Etang-la-Ville",6.50142333314837
"78227","Evecquemont",9.36542628300247
"78230","La Falaise",10.7844028125126
"78231","Favrieux",14.4030485737772
"78233","Feucherolles",9.47324318036324
"78234","Flacourt",16.7630020722234
"78236","Flexanville",17.18801263811
"78237","Flins-Neuve-Eglise",20.5030383069228
"78238","Flins-sur-Seine",9.23940768436188
"78239","Follainville-Dennemont",15.4215915310411
"78242","Fontenay-le-Fleury",7.03810125414968
"78245","Fontenay-Mauvoisin",14.5374157950628
"78246","Fontenay-Saint-Pere",14.314325680716
"78251","Fourqueux",6.73165068396961
"78255","Freneuse",18.257288030757
"78261","Gaillon-sur-Montcient",10.6666395821444
"78262","Galluis",12.0411076264045
"78263","Gambais",16.6170645314733
"78264","Gambaiseuil",17.4860913568182
"78265","Garancieres",15.4141215215431
"78267","Gargenville",10.3418786578435
"78269","Gazeran",18.6794556969455
"78276","Gommecourt",21.8455530990426
"78278","Goupillieres",16.3039775011611
"78281","Goussonville",15.2248574501193
"78283","Grandchamp",24.0902162488466
"78285","Gressey",20.4581537042888
"78289","Grosrouvre",16.0489450865477
"78290","Guernes",19.3006835723249
"78291","Guerville",14.8755731057629
"78296","Guitrancourt",12.7681802317614
"78297","Guyancourt",7.70611078501575
"78299","Hardricourt",9.73998736061753
"78300","Hargeville",16.1138540062494
"78302","La Hauteville",24.9696381909999
"78305","Herbeville",12.7712416054447
"78307","Hermeray",24.0373469947648
"78310","Houdan",17.1978291021625
"78311","Houilles",4.31886226299172
"78314","Issou",10.2487769351313
"78317","Jambville",14.6072448210672
"78320","Jeufosse",16.1810542146226
"78321","Jouars-Pontchartrain",10.1127123735888
"78322","Jouy-en-Josas",6.44956424318682
"78324","Jouy-Mauvoisin",13.3834553268136
"78325","Jumeauville",15.4014419114301
"78327","Juziers",10.6449585125972
"78329","Lainville-en-Vexin",15.0679834129026
"78334","Levis-Saint-Nom",13.3657387672946
"78335","Limay",11.4093488810887
"78337","Limetz-Villez",20.6205445496916
"78343","Les Loges-en-Josas",7.59259974824451
"78344","Lommoye",21.9908910790758
"78346","Longnes",17.3452843025343
