"ID","NAMES","cadres_AsTheCowRolls_POT_20"
"78163","Civry-la-Foret",10529.64990902
"78164","Clairefontaine-en-Yvelines",46757.26229113
"78165","Les Clayes-sous-Bois",300725.11084314
"78168","Coignieres",184420.23087312
"78171","Conde-sur-Vesgre",14447.6118385
"78172","Conflans-Sainte-Honorine",304970.33293329
"78185","Courgent",17959.39131855
"78188","Cravent",8092.0536443
"78189","Crespieres",183262.32731671
"78190","Croissy-sur-Seine",587164.58282706
"78192","Dammartin-en-Serve",11546.97609716
"78193","Dampierre-en-Yvelines",109239.56623817
"78194","Dannemarie",15436.99723826
"78196","Davron",209139.35895948
"78202","Drocourt",25046.68805083
"78206","Ecquevilly",213660.64346904
"78208","Elancourt",242221.84057438
"78209","Emance",7830.80856917
"78217","Epone",126068.16947875
"78220","Les Essarts-le-Roi",128162.15673709
"78224","L'Etang-la-Ville",434725.97862959
"78227","Evecquemont",118347.03262501
"78230","La Falaise",101464.29718651
"78231","Favrieux",29571.00506212
"78233","Feucherolles",288174.90852791
"78234","Flacourt",16561.5009555
"78236","Flexanville",21402.98923543
"78237","Flins-Neuve-Eglise",8770.05610069
"78238","Flins-sur-Seine",195224.38211711
"78239","Follainville-Dennemont",20986.27463809
"78242","Fontenay-le-Fleury",422543.9456225
"78245","Fontenay-Mauvoisin",29384.72595551
"78246","Fontenay-Saint-Pere",25200.7995206
"78251","Fourqueux",390642.98297104
"78255","Freneuse",12694.40591058
"78261","Gaillon-sur-Montcient",112802.57188241
"78262","Galluis",122860.95910161
"78263","Gambais",31643.23243817
"78264","Gambaiseuil",24390.25311052
"78265","Garancieres",54861.85652514
"78267","Gargenville",101349.15477001
"78269","Gazeran",20814.37603296
"78276","Gommecourt",6083.41661081
"78278","Goupillieres",25201.64049001
"78281","Goussonville",31830.61598685
"78283","Grandchamp",4859.11835792
"78285","Gressey",10241.15971576
"78289","Grosrouvre",42118.51776569
"78290","Guernes",10985.12968378
"78291","Guerville",27242.07456137
"78296","Guitrancourt",40579.14557192
"78297","Guyancourt",383155.83986725
"78299","Hardricourt",144391.45908967
"78300","Hargeville",22163.29181552
"78302","La Hauteville",4566.81576404
"78305","Herbeville",88765.75392782
"78307","Hermeray",7047.63682475
"78310","Houdan",26734.45893288
"78311","Houilles",664768.27508689
"78314","Issou",91750.81786776
"78317","Jambville",41594.42164806
"78320","Jeufosse",18793.07591338
"78321","Jouars-Pontchartrain",237211.01054132
"78322","Jouy-en-Josas",576085.47051818
"78324","Jouy-Mauvoisin",37645.62024635
"78325","Jumeauville",31461.72351507
"78327","Juziers",76256.89707504
"78329","Lainville-en-Vexin",33975.23427187
"78334","Levis-Saint-Nom",95587.83014098
"78335","Limay",47227.32779781
"78337","Limetz-Villez",8133.41614815
"78343","Les Loges-en-Josas",460394.62479458
"78344","Lommoye",6156.29953813
"78346","Longnes",15084.9334618
"78349","Longvilliers",84665.43341279
"78350","Louveciennes",660191.08071546
"78354","Magnanville",57571.25449051
"78356","Magny-les-Hameaux",197749.54687547
"78358","Maisons-Laffitte",458238.97446873
"78361","Mantes-la-Jolie",65186.50946401
"78362","Mantes-la-Ville",66317.40637914
"78364","Marcq",54949.21646409
"78366","Mareil-le-Guyon",124475.57174575
"78367","Mareil-Marly",415740.06631726
"78368","Mareil-sur-Mauldre",118426.49161274
"78372","Marly-le-Roi",583241.09212718
"78380","Maule",88995.72246217
"78381","Maulette",34522.78422887
"78382","Maurecourt",215868.31076317
"78383","Maurepas",260917.40705591
"78384","Medan",270309.0854274
"78385","Menerville",18301.36665007
"78389","Mere",104631.94342676
"78391","Mericourt",11996.6775073
"78396","Le Mesnil-le-Roi",434689.98470319
"78397","Le Mesnil-Saint-Denis",179002.46634979
"78398","Les Mesnuls",87249.32169049
"78401","Meulan-en-Yvelines",162873.25010483
"78402","Mezieres-sur-Seine",117259.99269811
"78403","Mezy-sur-Seine",106679.95350079
"78404","Millemont",64132.40738002
"78406","Milon-la-Chapelle",158518.88862022
