"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.005"
"78194","Dannemarie",12.0870141167904
"78196","Davron",5.94539575519006
"78202","Drocourt",9.15197249187705
"78206","Ecquevilly",6.83265873514716
"78208","Elancourt",9.60484943479335
"78209","Emance",12.3434173079451
"78217","Epone",5.27822346978077
"78220","Les Essarts-le-Roi",7.73895318904608
"78224","L'Etang-la-Ville",5.13537794112253
"78227","Evecquemont",6.81243163580012
"78230","La Falaise",4.87882837962115
"78231","Favrieux",6.06494396617947
"78233","Feucherolles",5.17762102288146
"78234","Flacourt",7.44220477751266
"78236","Flexanville",7.85398545110874
"78237","Flins-Neuve-Eglise",7.90531216493841
"78238","Flins-sur-Seine",5.69941947777889
"78239","Follainville-Dennemont",11.0340910131632
"78242","Fontenay-le-Fleury",6.19109346305385
"78245","Fontenay-Mauvoisin",5.68272568741992
"78246","Fontenay-Saint-Pere",10.3117593552675
"78251","Fourqueux",5.39301254338356
"78255","Freneuse",10.6294145545205
"78261","Gaillon-sur-Montcient",6.92156813277232
"78262","Galluis",7.36115896525976
"78263","Gambais",8.74008156974202
"78264","Gambaiseuil",9.00559387476759
"78265","Garancieres",8.68375579090849
"78267","Gargenville",6.47958065063629
"78269","Gazeran",10.7255334047238
"78276","Gommecourt",14.8385463657814
"78278","Goupillieres",7.69612709947453
"78281","Goussonville",8.5929499063551
"78283","Grandchamp",13.7026648214955
"78285","Gressey",10.511671317701
"78289","Grosrouvre",9.53684548070378
"78290","Guernes",15.1303860075521
"78291","Guerville",9.0427443350701
"78296","Guitrancourt",8.9912620826841
"78297","Guyancourt",7.00423279028545
"78299","Hardricourt",6.2694631932798
"78300","Hargeville",7.38408311550831
"78302","La Hauteville",13.6559948753356
"78305","Herbeville",6.53781638329346
"78307","Hermeray",11.5541245851972
"78310","Houdan",10.4128311114782
"78311","Houilles",3.08030616490184
"78314","Issou",6.50401237884332
"78317","Jambville",9.08679216491794
"78320","Jeufosse",8.9388054911136
"78321","Jouars-Pontchartrain",7.21236564991264
"78322","Jouy-en-Josas",5.96849977831098
"78324","Jouy-Mauvoisin",5.3747763686434
"78325","Jumeauville",8.00517953014045
"78327","Juziers",7.10330804776228
"78329","Lainville-en-Vexin",8.79687730361912
"78334","Levis-Saint-Nom",10.6826262622493
"78335","Limay",7.33769876666627
