"ID","NAMES","employe_AsTheCrowFlies_ACC_0.01"
"78189","Crespieres",7987.46073605686
"78190","Croissy-sur-Seine",3247.72108229379
"78192","Dammartin-en-Serve",12768.6442825801
"78193","Dampierre-en-Yvelines",8091.81692182533
"78194","Dannemarie",18520.4812132307
"78196","Davron",7123.6092901216
"78202","Drocourt",9690.74064687229
"78206","Ecquevilly",6844.65859530983
"78208","Elancourt",3930.90204773103
"78209","Emance",19547.819713853
"78217","Epone",7988.40924486637
"78220","Les Essarts-le-Roi",8661.56037088374
"78224","L'Etang-la-Ville",5302.81830135207
"78227","Evecquemont",5866.6066738337
"78230","La Falaise",8331.94609248845
"78231","Favrieux",10187.9674938874
"78233","Feucherolles",6821.01155033983
"78234","Flacourt",10798.8779054864
"78236","Flexanville",11975.0765799995
"78237","Flins-Neuve-Eglise",15343.0686734383
"78238","Flins-sur-Seine",7133.35631305825
"78239","Follainville-Dennemont",8015.53685923211
"78242","Fontenay-le-Fleury",4072.30922405004
"78245","Fontenay-Mauvoisin",9241.94576312858
"78246","Fontenay-Saint-Pere",8231.73266270998
"78251","Fourqueux",5361.73746724637
"78255","Freneuse",12630.259250413
"78261","Gaillon-sur-Montcient",7577.16711174808
"78262","Galluis",11045.7363514796
"78263","Gambais",15593.8106824147
"78264","Gambaiseuil",14049.0870081467
"78265","Garancieres",12138.9195392582
"78267","Gargenville",7245.07884916482
"78269","Gazeran",16040.2486988771
"78276","Gommecourt",14695.1551952703
"78278","Goupillieres",10798.4423643304
"78281","Goussonville",9055.70802863137
"78283","Grandchamp",19578.7382624289
"78285","Gressey",16713.2871792479
"78289","Grosrouvre",12547.0598528526
"78290","Guernes",9333.4914898514
"78291","Guerville",7564.57289916962
"78296","Guitrancourt",7362.96385837537
"78297","Guyancourt",4118.41583257719
"78299","Hardricourt",7204.87385658305
"78300","Hargeville",10565.2273651736
"78302","La Hauteville",19464.4486202591
"78305","Herbeville",8450.82545430146
"78307","Hermeray",18599.0709983218
"78310","Houdan",18042.9682319693
"78311","Houilles",2109.41685003039
"78314","Issou",7034.37516483361
"78317","Jambville",9108.68815700785
"78320","Jeufosse",15973.6026461005
"78321","Jouars-Pontchartrain",5695.02225770338
"78322","Jouy-en-Josas",4878.77949102583
"78324","Jouy-Mauvoisin",8840.42717547591
"78325","Jumeauville",9759.70632652376
"78327","Juziers",7446.50328890837
"78329","Lainville-en-Vexin",10119.4092904019
"78334","Levis-Saint-Nom",7223.86225985114
"78335","Limay",6631.71365005865
"78337","Limetz-Villez",16238.6575855698
"78343","Les Loges-en-Josas",5100.59028042042
