"ID","NAMES","employe_AsTheCowRolls_POT_15"
"77470","Tournan-en-Brie",41762.46903398
"77471","Tousson",4192.55220075
"77472","La Tretoire",4335.55791987
"77473","Treuzy-Levelay",6669.07577114
"77474","Trilbardou",45804.29821165
"77475","Trilport",22962.49753193
"77476","Trocy-en-Multien",12223.96049123
"77477","Ury",13591.19244404
"77478","Ussy-sur-Marne",16557.1962986
"77479","Vaires-sur-Marne",144415.49777786
"77480","Valence-en-Brie",10244.70276562
"77481","Vanville",4730.85647415
"77482","Varennes-sur-Seine",11067.12672004
"77483","Varreddes",20312.77429464
"77484","Vaucourtois",19541.5583631
"77485","Le Vaudoue",5556.47570511
"77486","Vaudoy-en-Brie",6330.74732992
"77487","Vaux-le-Penil",32506.70536042
"77489","Vaux-sur-Lunain",2506.7881517
"77490","Vendrest",3452.81496152
"77491","Veneux-les-Sablons",12229.10102973
"77492","Verdelot",1847.29889803
"77493","Verneuil-l'Etang",12250.14804833
"77494","Vernou-la-Celle-sur-Seine",10289.85293092
"77495","Vert-Saint-Denis",62279.28471151
"77496","Vieux-Champagne",3438.55105672
"77498","Vignely",39714.53298587
"77500","Villebeon",2686.69748531
"77501","Villecerf",11266.72307633
"77504","Villemarechal",5047.04105459
"77505","Villemareuil",21069.47520943
"77506","Villemer",9875.95295534
"77507","Villenauxe-la-Petite",2354.68406499
"77508","Villeneuve-le-Comte",59620.15697184
"77509","Villeneuve-les-Bordes",4870.81404144
"77510","Villeneuve-Saint-Denis",64685.96609621
"77511","Villeneuve-sous-Dammartin",30851.39931934
"77512","Villeneuve-sur-Bellot",1716.00480923
"77513","Villenoy",38865.30632274
"77514","Villeparisis",185779.21417635
"77515","Villeroy",30902.56459408
"77516","Ville-Saint-Jacques",10222.33049414
"77517","Villevaude",125111.26062592
"77518","Villiers-en-Biere",30942.56367464
"77519","Villiers-Saint-Georges",1865.53596611
"77520","Villiers-sous-Grez",9046.90103799
"77521","Villiers-sur-Morin",42700.19005423
"77522","Villiers-sur-Seine",2653.36299033
"77523","Villuis",1824.30113073
"77524","Vimpelles",3204.31899457
"77525","Vinantes",15868.34406283
"77526","Vincy-Manoeuvre",4444.62530942
"77527","Voinsles",5581.9474056
"77528","Voisenon",49856.89148048
"77529","Voulangis",27573.53256963
"77530","Voulton",2700.09682742
"77531","Voulx",4218.20370388
"77532","Vulaines-les-Provins",5084.06926237
"77533","Vulaines-sur-Seine",17075.22831608
"77534","Yebles",20373.23131153
"78003","Ablis",7366.10202339
"78005","Acheres",99659.18249945
"78006","Adainville",2197.11132479
"78007","Aigremont",122263.79001727
"78009","Allainville",6258.74923402
"78010","Les Alluets-le-Roi",37700.41793607
"78013","Andelu",14166.67991299
"78015","Andresy",86455.61214434
"78020","Arnouville-les-Mantes",15132.40530049
"78029","Aubergenville",49820.67395768
"78030","Auffargis",24136.50930214
"78031","Auffreville-Brasseuil",26837.06753473
"78033","Aulnay-sur-Mauldre",29803.49522349
"78034","Auteuil",15317.40239037
"78036","Autouillet",10522.64202835
"78043","Bailly",160245.41487357
"78048","Bazainville",9268.83225509
"78049","Bazemont",23842.4295539
