"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"77534","Yebles",11135.4568069167
"78003","Ablis",18005.6127945125
"78005","Acheres",3967.70972555384
"78006","Adainville",17025.2441826306
"78007","Aigremont",5530.64937995489
"78009","Allainville",19107.0898707422
"78010","Les Alluets-le-Roi",7623.93178131234
"78013","Andelu",9857.83389505357
"78015","Andresy",4111.95337398511
"78020","Arnouville-les-Mantes",10056.9956396364
"78029","Aubergenville",7521.30537274535
"78030","Auffargis",9805.20671971424
"78031","Auffreville-Brasseuil",8078.28636152724
"78033","Aulnay-sur-Mauldre",8375.45969896166
"78034","Auteuil",10023.5419696194
"78036","Autouillet",10548.5418490026
"78043","Bailly",3814.80720596037
"78048","Bazainville",15017.2898615133
"78049","Bazemont",7882.29932432745
"78050","Bazoches-sur-Guyonne",8344.72869274477
"78053","Behoust",12700.5536671464
"78057","Bennecourt",14761.7079931085
"78062","Beynes",8534.03682228544
"78068","Blaru",19716.1644221585
"78070","Boinville-en-Mantois",8887.0765449988
"78071","Boinville-le-Gaillard",18795.3538624964
"78072","Boinvilliers",10786.4960044421
"78073","Bois-d'Arcy",3857.78871465909
"78076","Boissets",16092.0192637017
"78077","La Boissiere-Ecole",17689.1389116557
"78082","Boissy-Mauvoisin",12632.9737803457
"78084","Boissy-sans-Avoir",10552.0793210455
"78087","Bonnelles",10599.8426006966
"78089","Bonnieres-sur-Seine",13727.6745595788
"78090","Bouafle",6723.3294836391
"78092","Bougival",2894.49551170356
"78096","Bourdonne",16530.5348844133
"78104","Breuil-Bois-Robert",8461.51233250032
"78107","Breval",15160.9543008381
"78108","Les Breviaires",10714.3189989841
"78113","Brueil-en-Vexin",8463.0789151537
"78117","Buc",4110.29265408164
"78118","Buchelay",7976.01753340961
"78120","Bullion",11090.1660074376
"78123","Carrieres-sous-Poissy",4615.69511811524
"78124","Carrieres-sur-Seine",2379.02823492832
"78125","La Celle-les-Bordes",10943.7324278484
"78126","La Celle-Saint-Cloud",2990.5307611749
"78128","Cernay-la-Ville",9646.46382039852
"78133","Chambourcy",5240.83049681048
"78138","Chanteloup-les-Vignes",4345.17522438312
"78140","Chapet",5756.64604240433
"78143","Chateaufort",5408.64598148436
"78146","Chatou",2738.16226684115
"78147","Chaufour-les-Bonnieres",18798.1852081793
"78152","Chavenay",5711.21626433262
"78158","Le Chesnay",2928.32526732407
"78160","Chevreuse",7038.33116253325
"78162","Choisel",8765.06503941644
"78163","Civry-la-Foret",14868.2238383338
