"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.05"
"77456","Soisy-Bouy",41820.6800855165
"77457","Solers",16186.6200835036
"77458","Souppes-sur-Loing",41312.962431563
"77459","Sourdun",43680.6572844393
"77460","Tancrou",29149.7421582829
"77461","Thenisy",37415.5429071653
"77462","Thieux",13628.5334983182
"77463","Thomery",27887.9072077208
"77464","Thorigny-sur-Marne",11286.8536426306
"77465","Thoury-Ferottes",38272.5989794648
"77466","Tigeaux",18723.7297869988
"77467","La Tombe",38423.3833295925
"77468","Torcy",8633.21832303694
"77469","Touquin",25355.063920408
"77470","Tournan-en-Brie",15633.3672434956
"77471","Tousson",27694.7558893794
"77472","La Tretoire",34539.4815329711
"77473","Treuzy-Levelay",36272.507299214
"77474","Trilbardou",16047.5908550775
"77475","Trilport",22995.8970779756
"77476","Trocy-en-Multien",25625.0608877184
"77477","Ury",28492.1241733446
"77478","Ussy-sur-Marne",28240.379108835
"77479","Vaires-sur-Marne",8145.54862670034
"77480","Valence-en-Brie",28971.8020548718
"77481","Vanville",32860.4933660051
"77482","Varennes-sur-Seine",33969.5572517966
"77483","Varreddes",22912.7094454375
"77484","Vaucourtois",21370.8352364113
"77485","Le Vaudoue",27555.8816902655
"77486","Vaudoy-en-Brie",28109.6148042215
"77487","Vaux-le-Penil",20159.2519667932
"77489","Vaux-sur-Lunain",43606.4701499439
"77490","Vendrest",31558.0330879221
"77491","Veneux-les-Sablons",29564.3453332169
"77492","Verdelot",40166.5835890342
"77493","Verneuil-l'Etang",20442.1017758744
"77494","Vernou-la-Celle-sur-Seine",29797.2621246025
"77495","Vert-Saint-Denis",16372.0346274048
"77496","Vieux-Champagne",32846.5579971703
"77498","Vignely",16082.8222228791
"77500","Villebeon",43704.3807670124
"77501","Villecerf",33990.4798206098
"77504","Villemarechal",38033.3083932196
"77505","Villemareuil",22951.46796559
"77506","Villemer",35054.7451033037
"77507","Villenauxe-la-Petite",46160.1889240847
"77508","Villeneuve-le-Comte",16420.6476781749
"77509","Villeneuve-les-Bordes",31639.2925297235
"77510","Villeneuve-Saint-Denis",14677.9171376782
"77511","Villeneuve-sous-Dammartin",13863.3840165131
"77512","Villeneuve-sur-Bellot",38550.8410791868
"77513","Villenoy",17813.5449900028
"77514","Villeparisis",9084.10625552428
"77515","Villeroy",16401.3215657019
"77516","Ville-Saint-Jacques",34388.0137335852
"77517","Villevaude",9855.26169893215
"77518","Villiers-en-Biere",19293.449527518
"77519","Villiers-Saint-Georges",43202.1159972538
"77520","Villiers-sous-Grez",30783.0409956992
"77521","Villiers-sur-Morin",17489.1663986701
"77522","Villiers-sur-Seine",47017.235325132
"77523","Villuis",47849.5642065785
"77524","Vimpelles",38701.4407780551
"77525","Vinantes",15791.682452064
"77526","Vincy-Manoeuvre",26881.3182705591
"77527","Voinsles",25871.4327989984
"77528","Voisenon",17465.2157064351
"77529","Voulangis",18275.3022976448
"77530","Voulton",40858.1175719061
"77531","Voulx",39907.8181948482
"77532","Vulaines-les-Provins",36815.2077428387
"77533","Vulaines-sur-Seine",26132.0662960819
"77534","Yebles",18267.7837900037
"78003","Ablis",27541.6316291046
"78005","Acheres",8803.00643567308
"78006","Adainville",27067.2878851006
"78007","Aigremont",10463.207696325
"78009","Allainville",28988.7070688124
"78010","Les Alluets-le-Roi",13834.498388043
