"ID","NAMES","population_AsTheCowRolls_POT_10"
"78020","Arnouville-les-Mantes",32256.71841358
"78029","Aubergenville",134147.87968776
"78030","Auffargis",62436.6819892
"78031","Auffreville-Brasseuil",104879.60774843
"78033","Aulnay-sur-Mauldre",73525.72722045
"78034","Auteuil",26720.92030323
"78036","Autouillet",19537.91674983
"78043","Bailly",376608.44338984
"78048","Bazainville",20421.45586093
"78049","Bazemont",52320.75034318
"78050","Bazoches-sur-Guyonne",63537.07856233
"78053","Behoust",17665.61834735
"78057","Bennecourt",34946.90324721
"78062","Beynes",57652.87608956
"78068","Blaru",5261.8163151
"78070","Boinville-en-Mantois",47262.18399513
"78071","Boinville-le-Gaillard",12464.59337402
"78072","Boinvilliers",38251.8394748
"78073","Bois-d'Arcy",354243.97400671
"78076","Boissets",6214.88528533
"78077","La Boissiere-Ecole",4536.93168298
"78082","Boissy-Mauvoisin",25308.32273824
"78084","Boissy-sans-Avoir",28202.19926438
"78087","Bonnelles",44053.06004
"78089","Bonnieres-sur-Seine",28239.41243556
"78090","Bouafle",138364.47655947
"78092","Bougival",643185.40378474
"78096","Bourdonne",13337.9911711
"78104","Breuil-Bois-Robert",87736.11131107
"78107","Breval",12131.78950295
"78108","Les Breviaires",27836.73273176
"78113","Brueil-en-Vexin",70616.23011057
"78117","Buc",272921.50684847
"78118","Buchelay",109406.41570586
"78120","Bullion",33238.93559905
"78123","Carrieres-sous-Poissy",271452.00956786
"78124","Carrieres-sur-Seine",753963.25328537
"78125","La Celle-les-Bordes",25757.25096505
"78126","La Celle-Saint-Cloud",676127.84737541
"78128","Cernay-la-Ville",43291.58006743
"78133","Chambourcy",222177.35351327
"78138","Chanteloup-les-Vignes",238860.18923016
"78140","Chapet",117086.64933026
"78143","Chateaufort",188903.2896195
"78146","Chatou",753609.08981049
"78147","Chaufour-les-Bonnieres",24131.26299734
"78152","Chavenay",136299.65289937
"78158","Le Chesnay",558335.94898442
"78160","Chevreuse",62286.26426396
"78162","Choisel",45971.04941205
"78163","Civry-la-Foret",10659.32016357
"78164","Clairefontaine-en-Yvelines",37842.84819073
"78165","Les Clayes-sous-Bois",181225.09484825
"78168","Coignieres",118217.55929147
"78171","Conde-sur-Vesgre",10653.21035459
"78172","Conflans-Sainte-Honorine",293786.96607186
"78185","Courgent",31170.57358615
"78188","Cravent",6795.31606124
"78189","Crespieres",66895.85751508
"78190","Croissy-sur-Seine",534903.76737869
"78192","Dammartin-en-Serve",16756.40636299
"78193","Dampierre-en-Yvelines",60780.32788992
"78194","Dannemarie",8919.57238299
"78196","Davron",72947.93261962
"78202","Drocourt",64205.61388501
"78206","Ecquevilly",120110.91186057
"78208","Elancourt",160358.20851775
"78209","Emance",5770.17216494
"78217","Epone",135880.34739806
"78220","Les Essarts-le-Roi",92594.09339661
"78224","L'Etang-la-Ville",274080.79112339
"78227","Evecquemont",156656.57229104
"78230","La Falaise",104863.30329725
"78231","Favrieux",74426.88180214
"78233","Feucherolles",134293.84843897
"78234","Flacourt",33670.74504093
"78236","Flexanville",15925.19592145
"78237","Flins-Neuve-Eglise",9583.56568608
"78238","Flins-sur-Seine",153051.00606572
"78239","Follainville-Dennemont",67140.81661101
"78242","Fontenay-le-Fleury",295861.80707706
"78245","Fontenay-Mauvoisin",74064.66002362
"78246","Fontenay-Saint-Pere",75043.0326809
"78251","Fourqueux",261256.0172097
"78255","Freneuse",29657.20138875
"78261","Gaillon-sur-Montcient",103401.26159665
"78262","Galluis",44910.01764893
"78263","Gambais",16674.44427207
"78264","Gambaiseuil",13336.8818101
"78265","Garancieres",20363.49299628
"78267","Gargenville",128174.77303924
"78269","Gazeran",27111.21279992
"78276","Gommecourt",6903.67432988
"78278","Goupillieres",16277.61650768
"78281","Goussonville",29286.96547301
"78283","Grandchamp",4296.02248129
"78285","Gressey",9578.20759633
"78289","Grosrouvre",15622.15536415
"78290","Guernes",23453.46098216
"78291","Guerville",63891.05077603
"78296","Guitrancourt",89250.32809516
"78297","Guyancourt",264915.98490319
"78299","Hardricourt",133974.01308915
"78300","Hargeville",19320.03239208
"78302","La Hauteville",3933.5402098
"78305","Herbeville",34383.26914665
"78307","Hermeray",6201.93402792
"78310","Houdan",14428.63327831
"78311","Houilles",806462.11376583
"78314","Issou",136204.81967821
"78317","Jambville",32689.09374591
"78320","Jeufosse",46530.62428658
"78321","Jouars-Pontchartrain",130981.00001696
"78322","Jouy-en-Josas",409321.69061305
"78324","Jouy-Mauvoisin",87869.72422474
"78325","Jumeauville",23659.21234805
"78327","Juziers",116490.05251646
