"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"77409","Saint-Germain-Laval",5432.0326668953
"77410","Saint-Germain-Laxis",5355.60110581859
"77411","Saint-Germain-sous-Doue",4201.80087022494
"77412","Saint-Germain-sur-Ecole",5140.49110342992
"77413","Saint-Germain-sur-Morin",5036.56035800763
"77414","Saint-Hilliers",4268.41783813403
"77415","Saint-Jean-les-Deux-Jumeaux",5088.97421273945
"77416","Saint-Just-en-Brie",4777.34908643217
"77417","Saint-Leger",5093.11042228783
"77418","Saint-Loup-de-Naud",4216.72248247179
"77419","Saint-Mammes",6381.65795905818
"77420","Saint-Mard",5335.80520294738
"77421","Saint-Mars-Vieux-Maisons",4003.36656857683
"77423","Saint-Martin-des-Champs",3361.99120834232
"77424","Saint-Martin-du-Boschet",6512.53858719593
"77425","Saint-Martin-en-Biere",4370.32585121503
"77426","Saint-Mery",7031.68441034914
"77427","Saint-Mesmes",4358.40314441686
"77428","Saint-Ouen-en-Brie",6490.33709678927
"77429","Saint-Ouen-sur-Morin",4181.98545123598
"77430","Saint-Pathus",7863.31784874169
"77431","Saint-Pierre-les-Nemours",4831.03874539799
"77432","Saint-Remy-la-Vanne",5032.13421835431
"77433","Saints",3404.62578835628
"77434","Saint-Sauveur-les-Bray",4509.5702304211
"77435","Saint-Sauveur-sur-Ecole",5174.98474785439
"77436","Saint-Simeon",5338.43320735368
"77437","Saint-Soupplets",5811.19230437737
"77438","Saint-Thibault-des-Vignes",5340.7930980621
"77439","Salins",5482.26051924485
"77440","Sammeron",4200.34446762931
"77441","Samois-sur-Seine",7000.06070896172
"77442","Samoreau",7638.0879437886
"77443","Sancy",3643.4759764989
"77444","Sancy-les-Provins",5424.45427936317
"77445","Savigny-le-Temple",5456.48005018974
"77446","Savins",3780.36106595008
"77447","Seine-Port",5399.65892754579
"77448","Sept-Sorts",4098.62105075876
"77449","Serris",5269.08975961039
"77450","Servon",3569.70814283219
"77451","Signy-Signets",4214.88829002933
"77452","Sigy",3245.98347257421
"77453","Sivry-Courtry",6012.00521251946
"77454","Sognolles-en-Montois",3729.12847630104
"77455","Soignolles-en-Brie",3975.03472095944
"77456","Soisy-Bouy",4116.17217464153
"77457","Solers",3757.44409939276
"77458","Souppes-sur-Loing",5719.9966990956
"77459","Sourdun",3836.45723294393
"77460","Tancrou",4080.71815974727
"77461","Thenisy",3272.05811511137
"77462","Thieux",5412.39780665887
"77463","Thomery",7582.99682984199
"77464","Thorigny-sur-Marne",5435.76808952113
"77465","Thoury-Ferottes",4345.30987661274
"77466","Tigeaux",5019.45021644841
"77467","La Tombe",6056.43899324761
"77468","Torcy",5403.18563169558
"77469","Touquin",3571.90790836451
"77470","Tournan-en-Brie",5369.482228821
"77471","Tousson",4042.5702781145
"77472","La Tretoire",5000.03794954673
"77473","Treuzy-Levelay",4869.9756985751
"77474","Trilbardou",4831.26510447553
"77475","Trilport",5432.21629262359
"77476","Trocy-en-Multien",5199.90842954562
"77477","Ury",5212.63456737317
"77478","Ussy-sur-Marne",4336.32829163866
"77479","Vaires-sur-Marne",5291.62313281009
"77480","Valence-en-Brie",6471.78853066155
"77481","Vanville",3743.96808097798
"77482","Varennes-sur-Seine",4517.53497044163
"77483","Varreddes",5443.41146014709
"77484","Vaucourtois",3970.59495082019
"77485","Le Vaudoue",4313.89115965735
"77486","Vaudoy-en-Brie",4950.98226332732
"77487","Vaux-le-Penil",5379.96012763965
"77489","Vaux-sur-Lunain",5226.80535901886
"77490","Vendrest",3980.1966825106
"77491","Veneux-les-Sablons",6835.46457222498
"77492","Verdelot",4346.52752501129
"77493","Verneuil-l'Etang",5380.11486021759
"77494","Vernou-la-Celle-sur-Seine",6258.24385979867
"77495","Vert-Saint-Denis",5114.77396857576
"77496","Vieux-Champagne",4385.09987502959
"77498","Vignely",5127.42455291293
"77500","Villebeon",4676.9088160242
"77501","Villecerf",4218.60419314971
"77504","Villemarechal",4183.67955044541
"77505","Villemareuil",4914.93417354288
"77506","Villemer",4739.56752851887
"77507","Villenauxe-la-Petite",6889.54199562998
"77508","Villeneuve-le-Comte",5592.26421863124
"77509","Villeneuve-les-Bordes",5036.37979779699
"77510","Villeneuve-Saint-Denis",5669.15071251475
"77511","Villeneuve-sous-Dammartin",5677.84802958579
"77512","Villeneuve-sur-Bellot",4057.26885208159
