"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"78006","Adainville",136.7835505
"78007","Aigremont",1269.95394144
"78009","Allainville",286.09276082
"78010","Les Alluets-le-Roi",638.26084446
"78013","Andelu",380.56162465
"78015","Andresy",814.59552225
"78020","Arnouville-les-Mantes",303.12965715
"78029","Aubergenville",750.33160544
"78030","Auffargis",380.91838021
"78031","Auffreville-Brasseuil",423.10686868
"78033","Aulnay-sur-Mauldre",500.62467952
"78034","Auteuil",392.72080791
"78036","Autouillet",326.86798274
"78043","Bailly",1439.7583036
"78048","Bazainville",297.38702568
"78049","Bazemont",425.50740679
"78050","Bazoches-sur-Guyonne",531.51841477
"78053","Behoust",275.46764546
"78057","Bennecourt",207.0748475
"78062","Beynes",495.27129082
"78068","Blaru",129.04431763
"78070","Boinville-en-Mantois",323.0931949
"78071","Boinville-le-Gaillard",239.12367072
"78072","Boinvilliers",289.9173828
"78073","Bois-d'Arcy",1320.51802493
"78076","Boissets",172.25776926
"78077","La Boissiere-Ecole",94.82075269
"78082","Boissy-Mauvoisin",225.8727627
"78084","Boissy-sans-Avoir",392.34529027
"78087","Bonnelles",365.29557838
"78089","Bonnieres-sur-Seine",192.60980441
"78090","Bouafle",829.91838248
"78092","Bougival",1639.59744624
"78096","Bourdonne",205.69794442
"78104","Breuil-Bois-Robert",379.55276843
"78107","Breval",208.88036864
"78108","Les Breviaires",260.11279461
"78113","Brueil-en-Vexin",382.91203219
"78117","Buc",1051.22058328
"78118","Buchelay",429.08828953
"78120","Bullion",326.61753153
"78123","Carrieres-sous-Poissy",1092.37738387
"78124","Carrieres-sur-Seine",1670.1134325
"78125","La Celle-les-Bordes",267.8581116
"78126","La Celle-Saint-Cloud",1730.24542998
"78128","Cernay-la-Ville",331.12921629
"78133","Chambourcy",1269.66335558
"78138","Chanteloup-les-Vignes",804.3016596
"78140","Chapet",798.53140466
"78143","Chateaufort",818.88837152
"78146","Chatou",1724.71447808
"78147","Chaufour-les-Bonnieres",204.10074613
"78152","Chavenay",862.50147233
"78158","Le Chesnay",1658.97998014
"78160","Chevreuse",405.19020253
"78162","Choisel",352.2692025
"78163","Civry-la-Foret",207.00410324
"78164","Clairefontaine-en-Yvelines",318.54804562
"78165","Les Clayes-sous-Bois",859.4516155
"78168","Coignieres",584.61756263
"78171","Conde-sur-Vesgre",176.68580472
"78172","Conflans-Sainte-Honorine",1000.69391547
"78185","Courgent",296.78471346
"78188","Cravent",157.07841737
"78189","Crespieres",695.97388613
"78190","Croissy-sur-Seine",1527.86155478
"78192","Dammartin-en-Serve",248.54643303
"78193","Dampierre-en-Yvelines",374.11232275
"78194","Dannemarie",168.050822
"78196","Davron",729.34417061
"78202","Drocourt",309.16643247
"78206","Ecquevilly",818.93366727
"78208","Elancourt",722.82201001
"78209","Emance",113.06753618
"78217","Epone",670.89176715
"78220","Les Essarts-le-Roi",484.70986206
"78224","L'Etang-la-Ville",1209.07817251
"78227","Evecquemont",575.82022977
"78230","La Falaise",587.14132488
"78231","Favrieux",345.41259277
"78233","Feucherolles",940.32845951
"78234","Flacourt",274.27621697
"78236","Flexanville",265.32587139
"78237","Flins-Neuve-Eglise",206.70337412
"78238","Flins-sur-Seine",839.22427992
"78239","Follainville-Dennemont",259.13198094
"78242","Fontenay-le-Fleury",1124.71583544
"78245","Fontenay-Mauvoisin",332.80951946
"78246","Fontenay-Saint-Pere",300.3394581
"78251","Fourqueux",1151.61666275
"78255","Freneuse",183.9583613
"78261","Gaillon-sur-Montcient",568.18828239
"78262","Galluis",506.87278225
"78263","Gambais",251.52423019
"78264","Gambaiseuil",217.42261186
"78265","Garancieres",321.8304927
"78267","Gargenville",583.07165685
"78269","Gazeran",182.388865
"78276","Gommecourt",111.16385897
"78278","Goupillieres",298.91291459
"78281","Goussonville",323.46014854
"78283","Grandchamp",97.98950513
"78285","Gressey",172.90783702
"78289","Grosrouvre",253.3810452
"78290","Guernes",129.70366272
"78291","Guerville",317.09376594
"78296","Guitrancourt",370.14229049
"78297","Guyancourt",956.33392617
"78299","Hardricourt",677.6297123
"78300","Hargeville",297.62262241
"78302","La Hauteville",93.8634358
