"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"78007","Aigremont",11602.66209392
"78009","Allainville",462.55530178
"78010","Les Alluets-le-Roi",5561.24715401
"78013","Andelu",3040.47471071
"78015","Andresy",12752.52820829
"78020","Arnouville-les-Mantes",2632.228287
"78029","Aubergenville",4437.7929793
"78030","Auffargis",2517.73416735
"78031","Auffreville-Brasseuil",3008.76629813
"78033","Aulnay-sur-Mauldre",4002.17443943
"78034","Auteuil",2901.32637291
"78036","Autouillet",2564.00844262
"78043","Bailly",20454.88999826
"78048","Bazainville",1258.81751573
"78049","Bazemont",4637.2882384
"78050","Bazoches-sur-Guyonne",3466.37680537
"78053","Behoust",1745.01471847
"78057","Bennecourt",1273.9814633
"78062","Beynes",3978.18862068
"78068","Blaru",529.89869609
"78070","Boinville-en-Mantois",3116.07537142
"78071","Boinville-le-Gaillard",537.77620828
"78072","Boinvilliers",2236.80605123
"78073","Bois-d'Arcy",10290.89518587
"78076","Boissets",906.69399773
"78077","La Boissiere-Ecole",752.81846107
"78082","Boissy-Mauvoisin",1689.9866951
"78084","Boissy-sans-Avoir",2538.91041662
"78087","Bonnelles",2363.92837724
"78089","Bonnieres-sur-Seine",1508.98516027
"78090","Bouafle",5386.61670069
"78092","Bougival",39707.9431601
"78096","Bourdonne",991.01598625
"78104","Breuil-Bois-Robert",3008.8698241
"78107","Breval",1081.09864543
"78108","Les Breviaires",2218.24003213
"78113","Brueil-en-Vexin",3373.88547142
"78117","Buc",18654.56375
"78118","Buchelay",2814.54591091
"78120","Bullion",2023.50063037
"78123","Carrieres-sous-Poissy",12266.01437523
"78124","Carrieres-sur-Seine",52243.43633163
"78125","La Celle-les-Bordes",2030.86319551
"78126","La Celle-Saint-Cloud",37199.79810784
"78128","Cernay-la-Ville",2705.16580991
"78133","Chambourcy",13701.64851493
"78138","Chanteloup-les-Vignes",11575.8078063
"78140","Chapet",6716.67870105
"78143","Chateaufort",10204.60284058
"78146","Chatou",45226.69714407
"78147","Chaufour-les-Bonnieres",621.46776037
"78152","Chavenay",8895.86646264
"78158","Le Chesnay",32199.61512871
"78160","Chevreuse",5276.32972442
"78162","Choisel",3409.97059298
"78163","Civry-la-Foret",1148.48479335
"78164","Clairefontaine-en-Yvelines",1553.97224783
"78165","Les Clayes-sous-Bois",8488.4914883
"78168","Coignieres",4419.21043751
"78171","Conde-sur-Vesgre",1003.03497084
"78172","Conflans-Sainte-Honorine",15324.42410381
"78185","Courgent",1842.50456642
"78188","Cravent",621.18801396
"78189","Crespieres",5636.98720854
"78190","Croissy-sur-Seine",39141.81410383
