"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"78050","Bazoches-sur-Guyonne",17559.5661423148
"78053","Behoust",21585.2116827193
"78057","Bennecourt",30518.2663996898
"78062","Beynes",15396.2359790971
"78068","Blaru",34693.0536190559
"78070","Boinville-en-Mantois",20084.261715001
"78071","Boinville-le-Gaillard",28186.7272234704
"78072","Boinvilliers",23991.3921635326
"78073","Bois-d'Arcy",10457.2951771023
"78076","Boissets",27785.7830832686
"78077","La Boissiere-Ecole",27672.1491912476
"78082","Boissy-Mauvoisin",28383.9355760364
"78084","Boissy-sans-Avoir",18633.1922400492
"78087","Bonnelles",17211.4367447161
"78089","Bonnieres-sur-Seine",29973.4931780817
"78090","Bouafle",14528.7225041384
"78092","Bougival",6300.73938411927
"78096","Bourdonne",26342.4199776632
"78104","Breuil-Bois-Robert",21716.3028996574
"78107","Breval",30272.2965092626
"78108","Les Breviaires",20451.5864665743
"78113","Brueil-en-Vexin",18999.3691098223
"78117","Buc",8395.57736673967
"78118","Buchelay",24188.4072566895
"78120","Bullion",18202.4967050873
"78123","Carrieres-sous-Poissy",10131.5493689176
"78124","Carrieres-sur-Seine",5254.67550783515
"78125","La Celle-les-Bordes",18622.4623880815
"78126","La Celle-Saint-Cloud",6473.52875023078
"78128","Cernay-la-Ville",16954.8029758198
"78133","Chambourcy",9850.84328907828
"78138","Chanteloup-les-Vignes",10202.7887618318
"78140","Chapet",13142.1455042206
"78143","Chateaufort",10290.6190749036
"78146","Chatou",5798.30787205782
"78147","Chaufour-les-Bonnieres",33887.8897259336
"78152","Chavenay",11259.8249056519
"78158","Le Chesnay",6912.62248094516
"78160","Chevreuse",13028.9786102976
"78162","Choisel",15131.1609068319
"78163","Civry-la-Foret",26272.1573762487
"78164","Clairefontaine-en-Yvelines",21060.7083340376
"78165","Les Clayes-sous-Bois",11455.8944340335
"78168","Coignieres",15680.8321656772
"78171","Conde-sur-Vesgre",26051.4091801955
"78172","Conflans-Sainte-Honorine",8837.42944268522
"78185","Courgent",24108.8491200874
"78188","Cravent",33469.348285472
"78189","Crespieres",13353.5228996998
"78190","Croissy-sur-Seine",6353.06055401019
"78192","Dammartin-en-Serve",26144.7440449878
"78193","Dampierre-en-Yvelines",15170.4588758346
"78194","Dannemarie",28168.1604687843
"78196","Davron",12570.7607239366
"78202","Drocourt",21741.6878777707
"78206","Ecquevilly",13573.8667361483
"78208","Elancourt",13148.9177134953
"78209","Emance",28547.9245370039
"78217","Epone",17549.0065367834
"78220","Les Essarts-le-Roi",17573.0763597698
"78224","L'Etang-la-Ville",8761.199735851
"78227","Evecquemont",14066.8618429654
