"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"78071","Boinville-le-Gaillard",5908.6739017
"78072","Boinvilliers",26396.61378622
"78073","Bois-d'Arcy",169086.7191531
"78076","Boissets",6906.85720316
"78077","La Boissiere-Ecole",4465.82616983
"78082","Boissy-Mauvoisin",21704.08686994
"78084","Boissy-sans-Avoir",21525.77529886
"78087","Bonnelles",19460.60852331
"78089","Bonnieres-sur-Seine",19716.05415012
"78090","Bouafle",68351.21517151
"78092","Bougival",423721.52995111
"78096","Bourdonne",7037.12690813
"78104","Breuil-Bois-Robert",47554.50981907
"78107","Breval",10424.27454817
"78108","Les Breviaires",23649.10812389
"78113","Brueil-en-Vexin",43400.19297302
"78117","Buc",210890.40880966
"78118","Buchelay",52262.79169244
"78120","Bullion",15321.1884329
"78123","Carrieres-sous-Poissy",145289.39367023
"78124","Carrieres-sur-Seine",602809.84823862
"78125","La Celle-les-Bordes",16651.60699766
"78126","La Celle-Saint-Cloud",398127.82696216
"78128","Cernay-la-Ville",23204.22229228
"78133","Chambourcy",134844.62370978
"78138","Chanteloup-les-Vignes",165637.52748322
"78140","Chapet",91406.65452573
"78143","Chateaufort",130286.94781612
"78146","Chatou",498116.95349906
"78147","Chaufour-les-Bonnieres",6619.35255467
"78152","Chavenay",109249.77131013
"78158","Le Chesnay",347019.69879963
"78160","Chevreuse",68340.04251653
"78162","Choisel",31952.69776227
"78163","Civry-la-Foret",8677.16978531
"78164","Clairefontaine-en-Yvelines",16424.92594415
"78165","Les Clayes-sous-Bois",135746.32734834
"78168","Coignieres",74439.46493624
"78171","Conde-sur-Vesgre",6079.08267017
"78172","Conflans-Sainte-Honorine",212797.06514889
"78185","Courgent",15389.59956598
"78188","Cravent",6198.86402891
"78189","Crespieres",50565.98336468
"78190","Croissy-sur-Seine",415358.13708625
"78192","Dammartin-en-Serve",14611.76256182
"78193","Dampierre-en-Yvelines",50969.45221506
"78194","Dannemarie",6030.61932096
"78196","Davron",71959.31725362
"78202","Drocourt",29670.86704253
"78206","Ecquevilly",72741.59056868
"78208","Elancourt",123299.98143171
"78209","Emance",5862.58310821
"78217","Epone",49825.22721503
"78220","Les Essarts-le-Roi",42623.06781891
"78224","L'Etang-la-Ville",187974.19089986
"78227","Evecquemont",89345.54581117
"78230","La Falaise",45145.54231784
"78231","Favrieux",34089.8063719
"78233","Feucherolles",84764.53431483
"78234","Flacourt",28288.59391871
"78236","Flexanville",14888.22161491
"78237","Flins-Neuve-Eglise",7042.47431359
"78238","Flins-sur-Seine",62337.29166146
"78239","Follainville-Dennemont",49621.88012917
"78242","Fontenay-le-Fleury",189935.71346134
"78245","Fontenay-Mauvoisin",42267.31960609
"78246","Fontenay-Saint-Pere",46786.41597422
"78251","Fourqueux",172470.93744361
"78255","Freneuse",21770.37099491
"78261","Gaillon-sur-Montcient",55630.5039046
"78262","Galluis",19814.89932545
"78263","Gambais",9617.7647913
"78264","Gambaiseuil",9791.81081729
"78265","Garancieres",15286.45094644
"78267","Gargenville",57977.04630232
"78269","Gazeran",16316.24304392
"78276","Gommecourt",12461.73535673
"78278","Goupillieres",19998.88501302
"78281","Goussonville",38200.91346112
"78283","Grandchamp",3707.26123175
"78285","Gressey",7760.06414482
"78289","Grosrouvre",13324.4887166
"78290","Guernes",42558.85778384
"78291","Guerville",53817.7702162
"78296","Guitrancourt",55487.40723693
"78297","Guyancourt",175790.56543171
"78299","Hardricourt",60778.54880318
"78300","Hargeville",22696.51674314
"78302","La Hauteville",3408.48133331
