"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_0"
"78586","Sartrouville",4
"78588","Saulx-Marchais",4
"78590","Senlisse",0
"78591","Septeuil",4
"78597","Soindres",0
"78601","Sonchamp",8
"78605","Tacoignieres",0
"78606","Le Tartre-Gaudran",0
"78608","Le Tertre-Saint-Denis",4
"78609","Tessancourt-sur-Aubette",0
"78615","Thiverval-Grignon",0
"78616","Thoiry",4
"78618","Tilly",4
"78620","Toussus-le-Noble",4
"78621","Trappes",6
"78623","Le Tremblay-sur-Mauldre",8
"78624","Triel-sur-Seine",8
"78638","Vaux-sur-Seine",0
"78640","Velizy-Villacoublay",3
"78642","Verneuil-sur-Seine",3
"78643","Vernouillet",8
"78644","La Verriere",0
"78646","Versailles",46
"78647","Vert",8
"78650","Le Vesinet",3
"78653","Vicq",0
"78655","Vieille-Eglise-en-Yvelines",0
"78668","La Villeneuve-en-Chevrie",8
"78672","Villennes-sur-Seine",4
"78674","Villepreux",0
"78677","Villette",0
"78681","Villiers-le-Mahieu",0
"78683","Villiers-Saint-Frederic",0
"78686","Viroflay",1
"78688","Voisins-le-Bretonneux",3
"91001","Abbeville-la-Riviere",20
"91016","Angerville",20
"91017","Angervilliers",4
"91021","Arpajon",0
"91022","Arrancourt",8
"91027","Athis-Mons",0
"91035","Authon-la-Plaine",4
"91037","Auvernaux",4
"91038","Auvers-Saint-Georges",0
"91041","Avrainville",4
"91044","Ballainvilliers",4
"91045","Ballancourt-sur-Essonne",4
"91047","Baulne",0
"91064","Bievres",4
"91067","Blandy",8
"91069","Boigneville",4
"91075","Bois-Herpin",8
"91079","Boissy-la-Riviere",0
"91080","Boissy-le-Cutte",0
"91081","Boissy-le-Sec",16
"91085","Boissy-sous-Saint-Yon",0
"91086","Bondoufle",4
"91093","Boullay-les-Troux",0
"91095","Bouray-sur-Juine",4
"91097","Boussy-Saint-Antoine",0
"91098","Boutervilliers",0
"91099","Boutigny-sur-Essonne",4
"91100","Bouville",12
"91103","Bretigny-sur-Orge",4
"91105","Breuillet",4
"91106","Breux-Jouy",0
"91109","Brieres-les-Scelles",0
"91111","Briis-sous-Forges",18
"91112","Brouy",4
"91114","Brunoy",9
"91115","Bruyeres-le-Chatel",0
"91121","Buno-Bonnevaux",4
"91122","Bures-sur-Yvette",4
"91129","Cerny",8
"91130","Chalo-Saint-Mars",0
"91131","Chalou-Moulineux",4
"91132","Chamarande",4
"91135","Champcueil",0
"91136","Champlan",8
"91137","Champmotteux",24
"91145","Chatignonville",0
"91148","Chauffour-les-Etrechy",0
"91156","Cheptainville",8
"91159","Chevannes",8
"91161","Chilly-Mazarin",0
"91174","Corbeil-Essonnes",8
"91175","Corbreuse",4
"91179","Le Coudray-Montceaux",0
"91180","Courances",8
"91182","Courcouronnes",3
"91184","Courdimanche-sur-Essonne",0
"91186","Courson-Monteloup",0
"91191","Crosne",4
"91195","Dannemois",0
"91198","D'Huison-Longueville",0
"91200","Dourdan",8
"91201","Draveil",4
"91204","Echarcon",0
"91207","Egly",0
"91215","Epinay-sous-Senart",0
"91216","Epinay-sur-Orge",3
"91222","Estouches",4
"91223","Etampes",34
"91225","Etiolles",4
"91226","Etrechy",8
"91228","Evry",7
"91232","La Ferte-Alais",4
"91235","Fleury-Merogis",4
"91240","Fontaine-la-Riviere",0
"91243","Fontenay-les-Briis",0
"91244","Fontenay-le-Vicomte",4
"91247","La Foret-le-Roi",0
"91248","La Foret-Sainte-Croix",4
"91249","Forges-les-Bains",8
"91272","Gif-sur-Yvette",9
"91273","Gironville-sur-Essonne",16
"91274","Gometz-la-Ville",20
"91275","Gometz-le-Chatel",0
"91284","Les Granges-le-Roi",0
"91286","Grigny",0
"91292","Guibeville",4
"91293","Guigneville-sur-Essonne",4
"91294","Guillerval",4
"91312","Igny",0
"91315","Itteville",4
"91318","Janville-sur-Juine",8
"91319","Janvry",8
"91326","Juvisy-sur-Orge",5
"91330","Lardy",4
"91332","Leudeville",4
"91333","Leuville-sur-Orge",0
"91338","Limours",4
"91339","Linas",8
"91340","Lisses",0
"91345","Longjumeau",1
"91347","Longpont-sur-Orge",0
"91359","Maisse",12
"91363","Marcoussis",12
"91374","Marolles-en-Beauce",0
"91376","Marolles-en-Hurepoix",0
"91377","Massy",5
"91378","Mauchamps",0
"91386","Mennecy",14
"91390","Mereville",41
"91393","Merobert",4
"91399","Mespuits",4
"91405","Milly-la-Foret",4
"91408","Moigny-sur-Ecole",12
"91411","Les Molieres",4
"91412","Mondeville",16
"91414","Monnerville",4
"91421","Montgeron",20
"91425","Montlhery",4
"91432","Morangis",0
"91433","Morigny-Champigny",12
"91434","Morsang-sur-Orge",13
"91435","Morsang-sur-Seine",0
"91441","Nainville-les-Roches",0
"91457","La Norville",0
"91458","Nozay",0
"91461","Ollainville",8
