"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"77363","Le Pin",4201.13227971365
"77364","Le Plessis-aux-Bois",9996.66420195737
"77365","Le Plessis-Feu-Aussoux",16759.7409334808
"77366","Le Plessis-l'Eveque",10291.7140984459
"77367","Le Plessis-Placy",16234.3932265995
"77368","Poigny",27798.5238632613
"77369","Poincy",10348.7988794554
"77370","Poligny",18967.0176618365
"77371","Pommeuse",12775.3764996233
"77372","Pomponne",4081.66246452418
"77373","Pontault-Combault",3367.01067732471
"77374","Pontcarre",4975.17547560715
"77376","Precy-sur-Marne",6940.76668434306
"77377","Presles-en-Brie",8461.29894800399
"77378","Pringy",6840.45128620252
"77379","Provins",27900.1004297267
"77380","Puisieux",15333.5233090689
"77381","Quiers",16615.0460676995
"77382","Quincy-Voisins",7192.53852479104
"77383","Rampillon",20223.7263574424
"77384","Reau",6198.23741596592
"77385","Rebais",21062.0587268602
"77386","Recloses",12523.3183903273
"77387","Remauville",20856.9899420672
"77388","Reuil-en-Brie",18687.707830736
"77389","La Rochette",6136.93348624762
"77390","Roissy-en-Brie",4200.87188115174
"77391","Rouilly",27539.3403157255
"77392","Rouvres",12016.3737949349
"77393","Rozay-en-Brie",15511.8602205906
"77394","Rubelles",6532.55534959344
"77395","Rumont",19324.6421180545
"77396","Rupereux",28052.6709129745
"77397","Saacy-sur-Marne",21131.5024469576
"77398","Sablonnieres",24020.7921476697
"77399","Saint-Ange-le-Viel",19112.2032267952
"77400","Saint-Augustin",14235.1984118911
"77401","Sainte-Aulde",20764.1884704767
"77402","Saint-Barthelemy",27542.7387035469
"77403","Saint-Brice",29651.3399944138
"77404","Sainte-Colombe",27257.1592572307
"77405","Saint-Cyr-sur-Morin",18388.9885991031
"77406","Saint-Denis-les-Rebais",19618.9137856276
"77407","Saint-Fargeau-Ponthierry",6234.5257618231
"77408","Saint-Fiacre",9720.10533200456
"77409","Saint-Germain-Laval",17739.4000907111
"77410","Saint-Germain-Laxis",8064.10209659349
"77411","Saint-Germain-sous-Doue",16862.3036828095
"77412","Saint-Germain-sur-Ecole",9137.76636435789
"77413","Saint-Germain-sur-Morin",6176.78180527843
"77414","Saint-Hilliers",25601.2015298042
"77415","Saint-Jean-les-Deux-Jumeaux",12480.6732935792
"77416","Saint-Just-en-Brie",21170.8442450157
"77417","Saint-Leger",22975.7696538191
"77418","Saint-Loup-de-Naud",25530.5747179946
"77419","Saint-Mammes",10763.6795123104
"77420","Saint-Mard",10396.5894530331
"77421","Saint-Mars-Vieux-Maisons",26137.0521883758
"77423","Saint-Martin-des-Champs",26218.1662480005
"77424","Saint-Martin-du-Boschet",31066.5724408417
"77425","Saint-Martin-en-Biere",10061.7939198579
"77426","Saint-Mery",12550.3663567169
"77427","Saint-Mesmes",8483.13965597191
"77428","Saint-Ouen-en-Brie",15305.3646027756
"77429","Saint-Ouen-sur-Morin",19704.4877567347
"77430","Saint-Pathus",13598.3993999797
"77431","Saint-Pierre-les-Nemours",16834.4974046029
"77432","Saint-Remy-la-Vanne",21856.3507073906
"77433","Saints",15902.2467248946
"77434","Saint-Sauveur-les-Bray",26371.0126093274
"77435","Saint-Sauveur-sur-Ecole",7868.81241337456
"77436","Saint-Simeon",19978.535874732
"77437","Saint-Soupplets",11805.0111203578
"77438","Saint-Thibault-des-Vignes",3518.72792837527
"77439","Salins",18476.5656444949
"77440","Sammeron",14473.279761912
"77441","Samois-sur-Seine",8298.31053938493
"77442","Samoreau",8763.49999046089
"77443","Sancy",10038.6499608542
"77444","Sancy-les-Provins",29827.5200140439
"77445","Savigny-le-Temple",5371.65726587274
"77446","Savins",25369.1526492678
"77447","Seine-Port",5677.20266000531
"77448","Sept-Sorts",15682.5918215114
"77449","Serris",4914.68172170376
"77450","Servon",4966.73289569707
"77451","Signy-Signets",13540.8623624843
"77452","Sigy",24080.8591070142
"77453","Sivry-Courtry",8842.52559715787
"77454","Sognolles-en-Montois",23166.8735730681
"77455","Soignolles-en-Brie",8923.27913644003
"77456","Soisy-Bouy",29290.3186544861
"77457","Solers",9444.80849528619
"77458","Souppes-sur-Loing",22887.7762123473
"77459","Sourdun",31386.3264928574
"77460","Tancrou",16771.4690744715
"77461","Thenisy",24489.0674466578
"77462","Thieux",8342.82393853725
"77463","Thomery",9262.02343303526
"77464","Thorigny-sur-Marne",4635.31478228382
"77465","Thoury-Ferottes",18979.6217443293
"77466","Tigeaux",9145.78796156901
"77467","La Tombe",22519.7896160642
"77468","Torcy",3177.02320331283
"77469","Touquin",15856.1631138048
"77470","Tournan-en-Brie",8690.79810002763
"77471","Tousson",15909.5811037095
"77472","La Tretoire",21723.9464265686
"77473","Treuzy-Levelay",16187.2728861244
"77474","Trilbardou",7784.63888212698
"77475","Trilport",10892.5127492956
"77476","Trocy-en-Multien",15044.5414975888
"77477","Ury",13308.2294046724
"77478","Ussy-sur-Marne",15377.5186355475
"77479","Vaires-sur-Marne",3154.71595336285
"77480","Valence-en-Brie",13062.144890975
"77481","Vanville",21547.9544743089
"77482","Varennes-sur-Seine",15699.7637981388
"77483","Varreddes",12046.9405446969
"77484","Vaucourtois",9712.89281043818
"77485","Le Vaudoue",14698.956120172
"77486","Vaudoy-en-Brie",18405.1654964681
"77487","Vaux-le-Penil",6546.60479588996
"77489","Vaux-sur-Lunain",24629.1699793566
"77490","Vendrest",19794.0866738285
"77491","Veneux-les-Sablons",10267.8201763131
"77492","Verdelot",27636.9447394823
"77493","Verneuil-l'Etang",12716.1417143746
"77494","Vernou-la-Celle-sur-Seine",11630.5713008494
"77495","Vert-Saint-Denis",5470.69120274786
"77496","Vieux-Champagne",22066.2618335783
"77498","Vignely",7142.40980344875
"77500","Villebeon",24640.2755749482
"77501","Villecerf",13916.6046020916
"77504","Villemarechal",17965.6527134558
"77505","Villemareuil",10693.0802724582
"77506","Villemer",14685.3573308907
"77507","Villenauxe-la-Petite",32067.2975653538
"77508","Villeneuve-le-Comte",7748.41669113696
"77509","Villeneuve-les-Bordes",18671.6801967275
"77510","Villeneuve-Saint-Denis",6285.24557423824
"77511","Villeneuve-sous-Dammartin",8584.43428507146
"77512","Villeneuve-sur-Bellot",25966.5019053948
"77513","Villenoy",7659.75428785512
"77514","Villeparisis",4847.1984173012
"77515","Villeroy",9079.83110314586
"77516","Ville-Saint-Jacques",15112.4871462646
"77517","Villevaude",4875.62822692165
"77518","Villiers-en-Biere",7119.1970989633
"77519","Villiers-Saint-Georges",31254.0296986242
"77520","Villiers-sous-Grez",13925.5838627633
"77521","Villiers-sur-Morin",7575.79822178148
"77522","Villiers-sur-Seine",33806.0666946803
"77523","Villuis",33935.5558170491
"77524","Vimpelles",24651.3681769794
"77525","Vinantes",9624.15454320923
"77526","Vincy-Manoeuvre",16971.750845806
"77527","Voinsles",17061.7157650949
"77528","Voisenon",6186.66113929088
"77529","Voulangis",8419.81368167559
"77530","Voulton",29117.0621354387
"77531","Voulx",20872.6300181358
"77532","Vulaines-les-Provins",25265.3203554688
"77533","Vulaines-sur-Seine",8667.15045927063
"77534","Yebles",10713.7039116417
"78003","Ablis",14856.9365763442
"78005","Acheres",2959.88818164495
"78006","Adainville",13569.6329689512
"78007","Aigremont",3521.26550404241
"78009","Allainville",16669.8172916032
"78010","Les Alluets-le-Roi",5889.57038574163
"78013","Andelu",8111.38984625346
"78015","Andresy",3106.61190500447
"78020","Arnouville-les-Mantes",9198.35943103772
"78029","Aubergenville",6539.61389281232
"78030","Auffargis",7504.94010619142
"78031","Auffreville-Brasseuil",8300.39022446739
"78033","Aulnay-sur-Mauldre",7234.32570014525
"78034","Auteuil",7710.7640190386
"78036","Autouillet",8277.18057540923
"78043","Bailly",2745.1773513049
"78048","Bazainville",12568.7724810746
"78049","Bazemont",6414.6690869121
"78050","Bazoches-sur-Guyonne",6203.15365395802
"78053","Behoust",10375.5495785719
"78057","Bennecourt",15122.8581311778
"78062","Beynes",6521.32848181645
"78068","Blaru",19586.7071585281
"78070","Boinville-en-Mantois",8265.79529869604
"78071","Boinville-le-Gaillard",15988.5635911193
"78072","Boinvilliers",10266.0685805392
"78073","Bois-d'Arcy",2630.89524426386
"78076","Boissets",14435.1656701714
"78077","La Boissiere-Ecole",13963.3304800275
"78082","Boissy-Mauvoisin",12743.3887660895
"78084","Boissy-sans-Avoir",8134.2170727198
"78087","Bonnelles",8129.50024050342
"78089","Bonnieres-sur-Seine",14118.7427739135
"78090","Bouafle",5551.92919947152
"78092","Bougival",1175.73024585809
"78096","Bourdonne",13474.8891995425
"78104","Breuil-Bois-Robert",8370.55761579469
"78107","Breval",14907.406781178
"78108","Les Breviaires",8088.22208356035
"78113","Brueil-en-Vexin",8156.18383051809
"78117","Buc",2743.96299839898
"78118","Buchelay",8826.76597241768
"78120","Bullion",8651.42555175698
"78123","Carrieres-sous-Poissy",3050.78419699434
"78124","Carrieres-sur-Seine",866.048329600654
"78125","La Celle-les-Bordes",8490.82727832124
